latitude,longitude,time,date,sound val,sound avg,sound pek
51.5010337829,0.0031132998,15:6:27,21/9/2017,21,33.33,295
51.5010414123,0.0030900001,15:6:28,21/9/2017,30,24.12,136
51.5010414123,0.0030750000,15:6:28,21/9/2017,11,10.16,122
51.5010490417,0.0030566003,15:6:30,21/9/2017,17,8.43,107
51.5010490417,0.0030383000,15:6:31,21/9/2017,13,10.86,85
51.5010566711,0.0030200002,15:6:32,21/9/2017,37,15.68,125
51.5010566711,0.0030000000,15:6:32,21/9/2017,7,12.00,100
51.5010643005,0.0029782999,15:6:34,21/9/2017,11,9.56,90
51.5010643005,0.0029600000,15:6:35,21/9/2017,21,19.78,124
51.5010757446,0.0029450001,15:6:36,21/9/2017,21,22.28,105
51.5010833740,0.0029283000,15:6:36,21/9/2017,13,28.10,113
51.5010833740,0.0029100000,15:6:38,21/9/2017,4,5.76,87
51.5010833740,0.0028900001,15:6:39,21/9/2017,4,6.37,109
51.5010833740,0.0028716001,15:6:40,21/9/2017,5,7.60,97
51.5010833740,0.0028516001,15:6:40,21/9/2017,10,14.73,84
51.5010833740,0.0028316001,15:6:42,21/9/2017,16,9.33,80
51.5010833740,0.0028115999,15:6:43,21/9/2017,3,10.71,83
51.5010910034,0.0027933001,15:6:44,21/9/2017,11,12.59,92
51.5010910034,0.0027716002,15:6:44,21/9/2017,11,22.01,112
51.5010910034,0.0027516002,15:6:46,21/9/2017,4,15.91,116
51.5010910034,0.0027316000,15:6:47,21/9/2017,10,5.67,137
51.5010910034,0.0027132999,15:6:48,21/9/2017,2,4.33,111
51.5010986328,0.0026933002,15:6:48,21/9/2017,0,4.14,103
51.5010986328,0.0026750001,15:6:50,21/9/2017,4,7.24,101
51.5010986328,0.0026566002,15:6:51,21/9/2017,2,10.85,115
51.5010910034,0.0026366000,15:6:52,21/9/2017,0,8.00,102
51.5010910034,0.0026183004,15:6:52,21/9/2017,23,8.45,115
51.5010833740,0.0025983002,15:6:54,21/9/2017,14,12.03,100
51.5010757446,0.0025800001,15:6:55,21/9/2017,13,27.78,199
51.5010643005,0.0025633001,15:6:56,21/9/2017,46,29.72,236
51.5010566711,0.0025483000,15:6:56,21/9/2017,20,19.64,104
51.5010490417,0.0025350000,15:6:58,21/9/2017,10,27.12,126
51.5010414123,0.0025233001,15:6:59,21/9/2017,12,19.95,177
51.5010261535,0.0025133001,15:7:0,21/9/2017,14,12.88,92
51.5010108947,0.0025033001,15:7:0,21/9/2017,15,29.91,177
51.5009918212,0.0024949998,15:7:2,21/9/2017,19,10.71,118
51.5009765625,0.0024883003,15:7:3,21/9/2017,14,8.93,81
51.5009689331,0.0024865999,15:7:4,21/9/2017,28,6.53,69
51.5009536743,0.0024865999,15:7:4,21/9/2017,18,22.85,102
51.5009422302,0.0024883003,15:7:6,21/9/2017,30,21.93,130
51.5009269714,0.0024865999,15:7:7,21/9/2017,15,24.26,160
51.5009117126,0.0024865999,15:7:8,21/9/2017,18,21.61,78
51.5009040832,0.0024883003,15:7:8,21/9/2017,10,16.15,105
51.5008888244,0.0024900002,15:7:10,21/9/2017,14,21.91,88
51.5008697509,0.0024932999,15:7:11,21/9/2017,16,16.94,112
51.5008621215,0.0024932999,15:7:12,21/9/2017,14,12.79,124
51.5008468627,0.0024932999,15:7:12,21/9/2017,16,8.44,135
51.5008392333,0.0024949998,15:7:14,21/9/2017,11,9.50,115
51.5008201599,0.0024983000,15:7:15,21/9/2017,8,8.36,107
51.5008125305,0.0025000002,15:7:16,21/9/2017,5,7.51,127
51.5007972717,0.0024983000,15:7:16,21/9/2017,18,10.03,112
51.5007820129,0.0024932999,15:7:18,21/9/2017,10,8.93,135
51.5007743835,0.0024865999,15:7:19,21/9/2017,10,15.66,117
51.5007553100,0.0024783000,15:7:20,21/9/2017,27,14.01,119
51.5007476806,0.0024750001,15:7:20,21/9/2017,19,18.18,142
51.5007324218,0.0024715998,15:7:22,21/9/2017,8,11.29,102
51.5007247924,0.0024683001,15:7:23,21/9/2017,22,38.15,273
51.5007095336,0.0024632999,15:7:24,21/9/2017,17,13.95,108
51.5006904602,0.0024616000,15:7:24,21/9/2017,11,12.65,109
51.5006828308,0.0024583003,15:7:26,21/9/2017,25,13.74,110
51.5006675720,0.0024583003,15:7:27,21/9/2017,35,28.98,271
51.5006523132,0.0024600000,15:7:28,21/9/2017,13,24.38,132
51.5006446838,0.0024632999,15:7:28,21/9/2017,105,29.14,192
