51.5022773742,0.0058949999,13:36:41,0/0/200,108.00,108.66,111.00,74.00,74.29,77.00,44.00
51.5022773742,0.0058882999,13:36:42,0/0/200,109.00,108.59,111.00,75.00,74.25,77.00,44.00
51.5022850036,0.0058833003,13:36:43,0/0/200,110.00,108.74,112.00,77.00,74.10,77.00,44.00
51.5023040771,0.0058766002,13:36:44,25/8/2016,111.00,111.00,111.00,74.00,74.00,74.00,44.00
51.5023040771,0.0058699998,13:36:45,25/8/2016,108.00,108.14,111.00,73.00,75.00,81.00,44.00
51.5023040771,0.0058683004,13:36:46,25/8/2016,108.00,108.67,986.00,73.00,74.21,78.00,44.00
51.5022964477,0.0058716006,13:36:47,25/8/2016,111.00,108.69,112.00,73.00,74.29,77.00,44.00
51.5022964477,0.0058750004,13:36:48,25/8/2016,107.00,107.92,112.00,71.00,73.48,77.00,44.00
51.5022964477,0.0058750004,13:36:48,25/8/2016,105.00,105.00,105.00,71.00,71.00,71.00,44.00
51.5023040771,0.0058833003,13:36:49,25/8/2016,107.00,106.15,109.00,74.00,72.65,76.00,44.00
51.5023193359,0.0058849997,13:36:50,25/8/2016,105.00,105.36,108.00,71.00,72.16,75.00,44.00
51.5023345947,0.0058800001,13:36:51,25/8/2016,103.00,104.42,108.00,74.00,71.51,75.00,44.00
51.5023422241,0.0058800001,13:36:52,25/8/2016,107.00,104.07,107.00,70.00,71.42,74.00,44.00
51.5023422241,0.0058816003,13:36:53,25/8/2016,103.00,104.83,108.00,72.00,71.82,75.00,44.00
51.5023536682,0.0058833003,13:36:54,25/8/2016,106.00,105.77,109.00,72.00,72.54,76.00,44.00
51.5023612976,0.0058849997,13:36:55,25/8/2016,106.00,106.85,110.00,73.00,73.59,77.00,44.00
51.5023612976,0.0058916001,13:36:56,25/8/2016,109.00,107.52,110.00,77.00,74.29,77.00,44.00
51.5023612976,0.0059000005,13:36:57,25/8/2016,108.00,108.02,111.00,77.00,74.67,78.00,44.00
