latitude,longitude,time,date,light,temperature,people,people cumulative
51.5013008117,0.0048116002,10:11:42,25/9/2017,36,27.15,0,10
51.5013008117,0.0048116002,10:11:42,25/9/2017,37,29.59,0,10
51.5012931823,0.0048250002,10:11:43,25/9/2017,30,26.66,0,10
51.5012931823,0.0048250002,10:11:43,25/9/2017,31,29.59,0,10
51.5012702941,0.0048266000,10:11:44,25/9/2017,26,27.15,1,11
51.5012702941,0.0048266000,10:11:44,25/9/2017,27,29.59,0,11
51.5012550354,0.0048282999,10:11:45,25/9/2017,26,27.15,0,11
51.5012550354,0.0048282999,10:11:45,25/9/2017,26,29.10,0,11
51.5012359619,0.0048383002,10:11:46,25/9/2017,25,27.15,0,11
51.5012359619,0.0048383002,10:11:46,25/9/2017,27,29.59,0,11
51.5012207031,0.0048450002,10:11:47,25/9/2017,25,26.66,0,11
51.5012207031,0.0048450002,10:11:47,25/9/2017,26,29.59,0,11
51.5012054443,0.0048500003,10:11:48,25/9/2017,26,27.15,0,11
51.5012054443,0.0048500003,10:11:48,25/9/2017,27,29.59,0,11
51.5011787414,0.0048416004,10:11:49,25/9/2017,26,27.15,0,11
51.5011787414,0.0048416004,10:11:49,25/9/2017,26,30.08,0,11
51.5011634826,0.0048350005,10:11:50,25/9/2017,26,27.15,0,11
51.5011634826,0.0048350005,10:11:50,25/9/2017,26,29.59,0,11
51.5011482238,0.0048266000,10:11:51,25/9/2017,25,27.15,1,12
51.5011482238,0.0048266000,10:11:51,25/9/2017,26,29.59,0,12
51.5011329650,0.0048215999,10:11:52,25/9/2017,26,27.15,0,12
51.5011329650,0.0048215999,10:11:52,25/9/2017,27,30.08,0,12
51.5011138916,0.0048233003,10:11:53,25/9/2017,28,27.15,0,12
51.5011138916,0.0048233003,10:11:53,25/9/2017,29,29.59,0,12
51.5010986328,0.0048282999,10:11:54,25/9/2017,25,27.15,0,12
51.5010986328,0.0048282999,10:11:54,25/9/2017,26,30.08,0,12
51.5010910034,0.0048416004,10:11:55,25/9/2017,25,27.15,0,12
51.5010910034,0.0048416004,10:11:55,25/9/2017,25,30.08,0,12
51.5010643005,0.0048583002,10:11:56,25/9/2017,24,27.64,0,12
51.5010643005,0.0048583002,10:11:56,25/9/2017,25,29.59,0,12
51.5010490417,0.0048766002,10:11:57,25/9/2017,25,27.64,0,12
51.5010490417,0.0048766002,10:11:57,25/9/2017,26,30.08,0,12
51.5010414123,0.0048933000,10:11:58,25/9/2017,24,27.64,0,12
51.5010414123,0.0048933000,10:11:58,25/9/2017,26,30.08,0,12
51.5010414123,0.0049166007,10:11:59,25/9/2017,25,27.64,0,12
51.5010414123,0.0049166007,10:11:59,25/9/2017,26,30.08,1,13
51.5010414123,0.0049433002,10:12:0,25/9/2017,25,27.64,2,15
51.5010414123,0.0049433002,10:12:0,25/9/2017,26,30.08,1,16
51.5010414123,0.0049699997,10:12:1,25/9/2017,25,28.61,1,17
51.5010414123,0.0049699997,10:12:1,25/9/2017,26,31.54,0,17
51.5010414123,0.0050015997,10:12:2,25/9/2017,25,28.13,0,17
51.5010414123,0.0050015997,10:12:2,25/9/2017,25,30.08,0,17
51.5010414123,0.0050365996,10:12:3,25/9/2017,23,27.15,0,17
51.5010414123,0.0050365996,10:12:3,25/9/2017,24,29.59,0,17
51.5010566711,0.0050816001,10:12:4,25/9/2017,24,27.15,0,17
51.5010566711,0.0050816001,10:12:4,25/9/2017,25,30.08,0,17
51.5010566711,0.0051100006,10:12:5,25/9/2017,23,27.15,0,17
51.5010566711,0.0051100006,10:12:5,25/9/2017,24,30.08,0,17
51.5010566711,0.0051283001,10:12:6,25/9/2017,23,27.15,0,17
51.5010566711,0.0051283001,10:12:6,25/9/2017,24,30.08,0,17
51.5010490417,0.0051450004,10:12:7,25/9/2017,23,27.64,0,17
