latitude,longitude,time,date,light
51.5014152526,0.0049516005,17:12:36,19/9/2017,38
51.5013999938,0.0049583001,17:12:38,19/9/2017,31
51.5013999938,0.0049583001,17:12:38,19/9/2017,31
51.5013923645,0.0049633002,17:12:39,19/9/2017,31
51.5013923645,0.0049633002,17:12:39,19/9/2017,31
51.5013847351,0.0049782996,17:12:40,19/9/2017,31
51.5013847351,0.0049782996,17:12:40,19/9/2017,32
51.5013771057,0.0049833002,17:12:40,19/9/2017,31
51.5013771057,0.0049833002,17:12:40,19/9/2017,31
51.5013656616,0.0049815998,17:12:42,19/9/2017,32
51.5013656616,0.0049815998,17:12:42,19/9/2017,32
51.5013580322,0.0049815998,17:12:43,19/9/2017,32
51.5013580322,0.0049815998,17:12:43,19/9/2017,33
51.5013427734,0.0049850001,17:12:44,19/9/2017,33
51.5013427734,0.0049850001,17:12:44,19/9/2017,34
51.5013351440,0.0049883003,17:12:44,19/9/2017,35
51.5013351440,0.0049883003,17:12:44,19/9/2017,35
51.5013275146,0.0049950003,17:12:46,19/9/2017,35
51.5013275146,0.0049950003,17:12:46,19/9/2017,35
51.5013084411,0.0049699997,17:12:47,19/9/2017,34
51.5013084411,0.0049699997,17:12:47,19/9/2017,34
51.5012931823,0.0049316005,17:12:48,19/9/2017,31
51.5012931823,0.0049316005,17:12:48,19/9/2017,32
51.5012779235,0.0049316005,17:12:48,19/9/2017,31
51.5012779235,0.0049316005,17:12:48,19/9/2017,32
51.5012626647,0.0049383001,17:12:50,19/9/2017,32
51.5012626647,0.0049383001,17:12:50,19/9/2017,33
51.5012435913,0.0049465999,17:12:51,19/9/2017,32
51.5012435913,0.0049465999,17:12:51,19/9/2017,33
51.5012359619,0.0049566001,17:12:52,19/9/2017,32
51.5012359619,0.0049566001,17:12:52,19/9/2017,33
51.5012283325,0.0049683003,17:12:52,19/9/2017,33
51.5012283325,0.0049683003,17:12:52,19/9/2017,33
51.5012130737,0.0049800004,17:12:54,19/9/2017,33
51.5012130737,0.0049800004,17:12:54,19/9/2017,34
51.5011978149,0.0049916000,17:12:55,19/9/2017,34
51.5011978149,0.0049916000,17:12:55,19/9/2017,34
51.5011863708,0.0050033001,17:12:56,19/9/2017,34
51.5011863708,0.0050033001,17:12:56,19/9/2017,35
51.5011711120,0.0050116004,17:12:56,19/9/2017,34
51.5011711120,0.0050116004,17:12:56,19/9/2017,35
51.5011558532,0.0050199995,17:12:58,19/9/2017,33
51.5011558532,0.0050199995,17:12:58,19/9/2017,33
51.5011482238,0.0050283002,17:12:59,19/9/2017,30
51.5011482238,0.0050283002,17:12:59,19/9/2017,31
51.5011405944,0.0050349998,17:13:0,19/9/2017,31
51.5011405944,0.0050349998,17:13:0,19/9/2017,33
51.5011405944,0.0050415997,17:13:0,19/9/2017,31
51.5011405944,0.0050415997,17:13:0,19/9/2017,31
51.5011329650,0.0050482997,17:13:2,19/9/2017,31
51.5011329650,0.0050482997,17:13:2,19/9/2017,32
51.5011138916,0.0050533003,17:13:3,19/9/2017,32
51.5011138916,0.0050533003,17:13:3,19/9/2017,32
51.5011062622,0.0050616002,17:13:4,19/9/2017,32
51.5011062622,0.0050616002,17:13:4,19/9/2017,33
51.5010910034,0.0050700001,17:13:4,19/9/2017,32
51.5010910034,0.0050700001,17:13:4,19/9/2017,33
51.5010833740,0.0050766000,17:13:6,19/9/2017,31
51.5010833740,0.0050766000,17:13:6,19/9/2017,32
51.5010643005,0.0050799999,17:13:7,19/9/2017,31
51.5010643005,0.0050799999,17:13:7,19/9/2017,32
51.5010566711,0.0050832996,17:13:8,19/9/2017,31
51.5010566711,0.0050832996,17:13:8,19/9/2017,31
51.5010490417,0.0050850005,17:13:8,19/9/2017,30
51.5010490417,0.0050850005,17:13:8,19/9/2017,31
51.5010337829,0.0050883002,17:13:10,19/9/2017,29
51.5010337829,0.0050883002,17:13:10,19/9/2017,30
51.5010261535,0.0050883002,17:13:11,19/9/2017,29
51.5010261535,0.0050883002,17:13:11,19/9/2017,29
51.5010108947,0.0050883002,17:13:12,19/9/2017,30
51.5010108947,0.0050883002,17:13:12,19/9/2017,30
51.5009841918,0.0050883002,17:13:12,19/9/2017,30
51.5009841918,0.0050883002,17:13:12,19/9/2017,30
51.5009689331,0.0050850005,17:13:14,19/9/2017,30
51.5009689331,0.0050850005,17:13:14,19/9/2017,31
51.5009536743,0.0050832996,17:13:15,19/9/2017,30
51.5009536743,0.0050832996,17:13:15,19/9/2017,31
51.5009269714,0.0050783004,17:13:16,19/9/2017,31
51.5009269714,0.0050783004,17:13:16,19/9/2017,31
51.5009117126,0.0050783004,17:13:16,19/9/2017,30
51.5009117126,0.0050783004,17:13:16,19/9/2017,31
51.5009040832,0.0050799999,17:13:18,19/9/2017,29
51.5009040832,0.0050799999,17:13:18,19/9/2017,29
51.5008888244,0.0050766000,17:13:19,19/9/2017,21
51.5008888244,0.0050766000,17:13:19,19/9/2017,22
51.5008697509,0.0050783004,17:13:20,19/9/2017,31
51.5008697509,0.0050783004,17:13:20,19/9/2017,32
51.5008544921,0.0050766000,17:13:20,19/9/2017,24
51.5008544921,0.0050766000,17:13:20,19/9/2017,25
51.5008392333,0.0050732998,17:13:22,19/9/2017,22
51.5008392333,0.0050732998,17:13:22,19/9/2017,20
51.5008201599,0.0050616002,17:13:23,19/9/2017,17
51.5008201599,0.0050616002,17:13:23,19/9/2017,19
51.5008049011,0.0050566005,17:13:24,19/9/2017,16
51.5008049011,0.0050566005,17:13:24,19/9/2017,18
51.5007896423,0.0050533003,17:13:24,19/9/2017,23
51.5007896423,0.0050533003,17:13:24,19/9/2017,18
51.5007743835,0.0050500001,17:13:26,19/9/2017,12
51.5007743835,0.0050500001,17:13:26,19/9/2017,13
51.5007553100,0.0050482997,17:13:27,19/9/2017,10
51.5007553100,0.0050482997,17:13:27,19/9/2017,11
51.5007400512,0.0050466003,17:13:28,19/9/2017,11
51.5007400512,0.0050466003,17:13:28,19/9/2017,11
51.5007247924,0.0050466003,17:13:28,19/9/2017,19
51.5007247924,0.0050466003,17:13:28,19/9/2017,16
51.5007095336,0.0050482997,17:13:30,19/9/2017,12
51.5007095336,0.0050482997,17:13:30,19/9/2017,12
51.5006980895,0.0050466003,17:13:31,19/9/2017,30
51.5006980895,0.0050466003,17:13:31,19/9/2017,34
51.5006828308,0.0050466003,17:13:32,19/9/2017,36
51.5006828308,0.0050466003,17:13:32,19/9/2017,36
51.5006675720,0.0050500001,17:13:32,19/9/2017,37
51.5006675720,0.0050500001,17:13:32,19/9/2017,37
51.5006523132,0.0050533003,17:13:34,19/9/2017,35
51.5006523132,0.0050533003,17:13:34,19/9/2017,36
51.5006446838,0.0050616002,17:13:35,19/9/2017,34
51.5006446838,0.0050616002,17:13:35,19/9/2017,34
51.5006256103,0.0050650000,17:13:36,19/9/2017,34
51.5006256103,0.0050650000,17:13:36,19/9/2017,33
51.5006179809,0.0050732998,17:13:36,19/9/2017,33
51.5006179809,0.0050732998,17:13:36,19/9/2017,33
51.5006103515,0.0050783004,17:13:38,19/9/2017,31
51.5006103515,0.0050783004,17:13:38,19/9/2017,32
51.5006027221,0.0050832996,17:13:39,19/9/2017,29
51.5006027221,0.0050832996,17:13:39,19/9/2017,30
51.5005950927,0.0050866003,17:13:40,19/9/2017,28
51.5005950927,0.0050866003,17:13:40,19/9/2017,28
51.5005760192,0.0050883002,17:13:40,19/9/2017,30
51.5005760192,0.0050883002,17:13:40,19/9/2017,31
51.5005760192,0.0050916004,17:13:42,19/9/2017,32
51.5005760192,0.0050916004,17:13:42,19/9/2017,33
51.5005760192,0.0050966000,17:13:43,19/9/2017,13
51.5005760192,0.0050966000,17:13:43,19/9/2017,13
51.5005683898,0.0051016001,17:13:44,19/9/2017,12
51.5005683898,0.0051016001,17:13:44,19/9/2017,13
51.5005683898,0.0051100006,17:13:44,19/9/2017,14
51.5005683898,0.0051100006,17:13:44,19/9/2017,14
51.5005760192,0.0051250004,17:13:46,19/9/2017,14
51.5005760192,0.0051250004,17:13:46,19/9/2017,15
51.5005760192,0.0051366000,17:13:47,19/9/2017,13
51.5005760192,0.0051366000,17:13:47,19/9/2017,14
51.5005760192,0.0051450004,17:13:48,19/9/2017,13
51.5005760192,0.0051450004,17:13:48,19/9/2017,14
51.5005874633,0.0051516003,17:13:48,19/9/2017,14
51.5005874633,0.0051516003,17:13:48,19/9/2017,14
51.5005874633,0.0051582999,17:13:50,19/9/2017,11
51.5005874633,0.0051582999,17:13:50,19/9/2017,12
51.5005950927,0.0051600003,17:13:51,19/9/2017,12
51.5005950927,0.0051600003,17:13:51,19/9/2017,13
51.5006027221,0.0051616001,17:13:52,19/9/2017,12
51.5006027221,0.0051616001,17:13:52,19/9/2017,13
51.5006027221,0.0051665997,17:13:52,19/9/2017,13
51.5006027221,0.0051665997,17:13:52,19/9/2017,13
51.5006027221,0.0051766004,17:13:54,19/9/2017,74
51.5006027221,0.0051766004,17:13:54,19/9/2017,75
51.5006027221,0.0051766004,17:13:55,19/9/2017,44
51.5006027221,0.0051766004,17:13:55,19/9/2017,65
51.5005950927,0.0051833004,17:13:56,19/9/2017,67
51.5005950927,0.0051833004,17:13:56,19/9/2017,72
51.5005950927,0.0051950001,17:13:56,19/9/2017,45
51.5005950927,0.0051950001,17:13:56,19/9/2017,49
51.5005874633,0.0052100000,17:13:58,19/9/2017,59
51.5005874633,0.0052100000,17:13:58,19/9/2017,60
51.5005760192,0.0052300000,17:13:59,19/9/2017,52
51.5005760192,0.0052300000,17:13:59,19/9/2017,52
51.5005683898,0.0052516007,17:14:0,19/9/2017,46
51.5005683898,0.0052516007,17:14:0,19/9/2017,46
51.5005455017,0.0052699999,17:14:0,19/9/2017,41
51.5005455017,0.0052699999,17:14:0,19/9/2017,41
51.5005111694,0.0052883005,17:14:2,19/9/2017,39
51.5005111694,0.0052883005,17:14:2,19/9/2017,39
51.5004806518,0.0053066005,17:14:3,19/9/2017,37
51.5004806518,0.0053066005,17:14:3,19/9/2017,38
51.5004539489,0.0053233003,17:14:4,19/9/2017,38
51.5004539489,0.0053233003,17:14:4,19/9/2017,38
51.5004310607,0.0053365998,17:14:4,19/9/2017,37
51.5004310607,0.0053365998,17:14:4,19/9/2017,37
51.5004005432,0.0053400001,17:14:6,19/9/2017,35
51.5004005432,0.0053400001,17:14:6,19/9/2017,35
51.5003585815,0.0053483004,17:14:7,19/9/2017,35
51.5003585815,0.0053483004,17:14:7,19/9/2017,36
51.5003318786,0.0053583002,17:14:8,19/9/2017,35
51.5003318786,0.0053583002,17:14:8,19/9/2017,35
51.5003089904,0.0053716001,17:14:8,19/9/2017,33
51.5003089904,0.0053716001,17:14:8,19/9/2017,34
51.5002784729,0.0053815994,17:14:10,19/9/2017,32
51.5002784729,0.0053815994,17:14:10,19/9/2017,31
51.5002593994,0.0053950004,17:14:11,19/9/2017,33
51.5002593994,0.0053950004,17:14:11,19/9/2017,33
51.5002441406,0.0054083003,17:14:12,19/9/2017,13
51.5002441406,0.0054083003,17:14:12,19/9/2017,15
51.5002288818,0.0054216003,17:14:12,19/9/2017,12
51.5002288818,0.0054216003,17:14:12,19/9/2017,13
51.5002212524,0.0054365997,17:14:14,19/9/2017,12
51.5002212524,0.0054365997,17:14:14,19/9/2017,13
51.5002098083,0.0054550004,17:14:15,19/9/2017,32
51.5002098083,0.0054550004,17:14:15,19/9/2017,33
51.5002021789,0.0054750003,17:14:16,19/9/2017,35
51.5002021789,0.0054750003,17:14:16,19/9/2017,36
51.5001945495,0.0054950003,17:14:16,19/9/2017,11
51.5001945495,0.0054950003,17:14:16,19/9/2017,11
51.5001869201,0.0055150003,17:14:18,19/9/2017,11
51.5001869201,0.0055150003,17:14:18,19/9/2017,12
51.5001792907,0.0055349998,17:14:19,19/9/2017,14
51.5001792907,0.0055349998,17:14:19,19/9/2017,15
51.5001792907,0.0055550003,17:14:20,19/9/2017,13
51.5001792907,0.0055550003,17:14:20,19/9/2017,14
51.5001640319,0.0055750007,17:14:20,19/9/2017,13
51.5001640319,0.0055750007,17:14:20,19/9/2017,14
51.5001564025,0.0055949997,17:14:22,19/9/2017,13
51.5001564025,0.0055949997,17:14:22,19/9/2017,15
51.5001449584,0.0056133003,17:14:23,19/9/2017,14
51.5001449584,0.0056133003,17:14:23,19/9/2017,14
51.5001449584,0.0056332998,17:14:24,19/9/2017,35
51.5001449584,0.0056332998,17:14:24,19/9/2017,39
51.5001373291,0.0056500005,17:14:24,19/9/2017,34
51.5001373291,0.0056500005,17:14:24,19/9/2017,27
51.5001296997,0.0056732997,17:14:26,19/9/2017,22
51.5001296997,0.0056732997,17:14:26,19/9/2017,26
51.5001296997,0.0056916003,17:14:27,19/9/2017,39
51.5001296997,0.0056916003,17:14:27,19/9/2017,40
51.5001144409,0.0057049994,17:14:28,19/9/2017,37
51.5001144409,0.0057049994,17:14:28,19/9/2017,38
51.5001068115,0.0057165999,17:14:28,19/9/2017,21
51.5001068115,0.0057165999,17:14:28,19/9/2017,33
51.5000877380,0.0057266001,17:14:30,19/9/2017,23
51.5000877380,0.0057266001,17:14:30,19/9/2017,17
51.5000801086,0.0057365999,17:14:31,19/9/2017,20
51.5000801086,0.0057365999,17:14:31,19/9/2017,39
51.5000648498,0.0057483005,17:14:32,19/9/2017,36
51.5000648498,0.0057483005,17:14:32,19/9/2017,38
51.5000495910,0.0057583003,17:14:32,19/9/2017,39
51.5000495910,0.0057583003,17:14:32,19/9/2017,41
51.5000343322,0.0057700004,17:14:34,19/9/2017,25
51.5000343322,0.0057700004,17:14:34,19/9/2017,34
51.5000228881,0.0057816004,17:14:35,19/9/2017,28
51.5000228881,0.0057816004,17:14:35,19/9/2017,29
51.5000076293,0.0057933001,17:14:36,19/9/2017,31
51.5000076293,0.0057933001,17:14:36,19/9/2017,32
51.4999923706,0.0058050003,17:14:36,19/9/2017,18
