
$GPRMC,123651.000,A,5129.7003,N,00000.3192,E,0.99,217.63,290716,,,A*64,51.4950027465,0.0053200001,12:36:51,0/0/200,6,16,16.97,69,28.61,502.70,0,0
$GPRMC,123652.000,A,5129.6999,N,00000.3187,E,1.31,215.46,290716,,,A*6E,51.4949951171,0.0053116006,12:36:52,0/0/200,6,43,28.10,334,29.10,510.52,0,0
$GPRMC,123653.000,A,5129.6995,N,00000.3184,E,1.36,214.44,290716,,,A*64,51.4949951171,0.0053066005,12:36:53,0/0/200,6,20,25.30,303,28.61,510.10,0,0
$GPRMC,123654.000,A,5129.6991,N,00000.3180,E,1.41,214.17,290716,,,A*65,51.4949874877,0.0053000001,12:36:54,0/0/200,6,39,29.15,314,28.13,510.15,0,0
$GPRMC,123655.000,A,5129.6986,N,00000.3189,E,1.40,191.58,290716,,,A*6F,51.4949798583,0.0053150005,12:36:55,0/0/200,7,9,22.45,269,28.61,510.09,0,0
$GPRMC,123656.000,A,5129.6979,N,00000.3194,E,1.59,178.83,290716,,,A*69,51.4949607849,0.0053233003,12:36:56,0/0/200,7,15,21.87,317,28.61,510.19,0,0
$GPRMC,123657.000,A,5129.6974,N,00000.3196,E,1.66,175.07,290716,,,A*6A,51.4949531555,0.0053266000,12:36:57,0/0/200,7,16,23.35,317,29.59,508.09,0,0
$GPRMC,123658.000,A,5129.6970,N,00000.3200,E,1.53,165.15,290716,,,A*69,51.4949455261,0.0053333001,12:36:58,0/0/200,7,41,23.36,300,29.59,504.89,0,0
$GPRMC,123659.000,A,5129.6966,N,00000.3203,E,1.58,162.89,290716,,,A*65,51.4949455261,0.0053383007,12:36:59,0/0/200,7,30,27.31,306,28.61,511.41,0,0
$GPRMC,123700.000,A,5129.6961,N,00000.3208,E,1.66,157.41,290716,,,A*6B,51.4949378967,0.0053466005,12:37:0,0/0/200,7,21,22.58,320,27.64,509.07,0,0
$GPRMC,123701.000,A,5129.6952,N,00000.3218,E,2.13,145.97,290716,,,A*62,51.4949226379,0.0053632998,12:37:1,0/0/200,8,17,22.38,300,28.13,510.28,0,0
$GPRMC,123702.000,A,5129.6943,N,00000.3224,E,2.28,144.01,290716,,,A*68,51.4949073791,0.0053732995,12:37:2,0/0/200,8,30,27.47,270,28.61,509.96,0,0
$GPRMC,123703.000,A,5129.6935,N,00000.3231,E,2.40,143.71,290716,,,A*62,51.4948883056,0.0053850002,12:37:3,0/0/200,9,12,27.62,324,28.13,510.12,0,0
$GPRMC,123704.000,A,5129.6924,N,00000.3243,E,2.73,138.25,290716,,,A*6D,51.4948730468,0.0054050006,12:37:4,0/0/200,8,28,24.04,311,28.61,510.77,0,0
$GPRMC,123705.000,A,5129.6913,N,00000.3248,E,2.87,141.33,290716,,,A*61,51.4948577880,0.0054133005,12:37:5,0/0/200,8,25,25.30,274,28.13,510.69,0,0
$GPRMC,123706.000,A,5129.6903,N,00000.3257,E,2.94,144.97,290716,,,A*64,51.4948387145,0.0054282999,12:37:6,0/0/200,8,5,20.02,300,28.13,510.85,0,0
$GPRMC,123707.000,A,5129.6895,N,00000.3268,E,2.88,136.52,290716,,,A*66,51.4948234558,0.0054466004,12:37:7,0/0/200,8,8,18.21,302,28.61,511.07,0,0
$GPRMC,123708.000,A,5129.6888,N,00000.3279,E,3.31,129.13,290716,,,A*6D,51.4948158264,0.0054650001,12:37:8,0/0/200,9,2,17.49,306,28.61,510.32,0,0
$GPRMC,123709.000,A,5129.6881,N,00000.3291,E,3.76,132.79,290716,,,A*66,51.4948005676,0.0054850001,12:37:9,0/0/200,9,7,20.04,267,28.61,510.59,0,0
$GPRMC,123710.000,A,5129.6875,N,00000.3302,E,3.22,129.29,290716,,,A*60,51.4947929382,0.0055033006,12:37:10,0/0/200,9,19,19.11,303,28.61,510.59,0,0
$GPRMC,123711.000,A,5129.6868,N,00000.3314,E,3.19,131.57,290716,,,A*62,51.4947853088,0.0055233001,12:37:11,0/0/200,8,31,24.08,315,29.10,509.92,0,0
$GPRMC,123712.000,A,5129.6862,N,00000.3325,E,2.55,125.36,290716,,,A*62,51.4947662353,0.0055416002,12:37:12,0/0/200,7,11,22.02,404,29.10,514.33,0,0
$GPRMC,123713.000,A,5129.6855,N,00000.3331,E,2.65,163.26,290716,,,A*62,51.4947586059,0.0055515999,12:37:13,0/0/200,7,16,20.95,268,29.10,510.82,0,0
$GPRMC,123714.000,A,5129.6846,N,00000.3335,E,2.47,166.86,290716,,,A*6C,51.4947433471,0.0055583000,12:37:14,0/0/200,7,17,23.60,288,29.10,510.21,0,0
$GPRMC,123715.000,A,5129.6838,N,00000.3336,E,2.58,175.44,290716,,,A*65,51.4947280883,0.0055599999,12:37:15,0/0/200,7,39,23.94,280,29.10,510.65,0,0
$GPRMC,123716.000,A,5129.6829,N,00000.3336,E,2.68,184.51,290716,,,A*6F,51.4947166442,0.0055599999,12:37:16,0/0/200,8,16,28.11,286,29.59,510.45,0,0
$GPRMC,123717.000,A,5129.6822,N,00000.3338,E,2.80,167.41,290716,,,A*61,51.4947013854,0.0055633001,12:37:17,0/0/200,8,50,35.48,311,27.15,508.30,0,0
$GPRMC,123718.000,A,5129.6814,N,00000.3344,E,3.03,154.67,290716,,,A*6E,51.4946937561,0.0055733003,12:37:18,0/0/200,8,65,63.74,293,29.59,509.99,0,0
$GPRMC,123719.000,A,5129.6808,N,00000.3353,E,2.95,138.57,290716,,,A*63,51.4946784973,0.0055883002,12:37:19,0/0/200,8,48,38.58,304,29.10,510.63,0,0
