latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature, gas, gas average, gas peak, people, cumulative people
25.0485553741,121.5761260986,3:3:19,8/11/2016,13,7,14.87,247,42.29,191.00,191.95,193.00,0,3
25.0560016632,121.5098648071,5:24:34,9/11/2016,21,42,22.31,385,62.79,326.00,327.88,329.00,0,0
25.0560016632,121.5098800659,5:24:35,9/11/2016,21,15,26.29,414,62.79,324.00,324.91,326.00,0,0
25.0560016632,121.5098800659,5:24:36,9/11/2016,22,19,24.24,389,62.30,324.00,323.91,325.00,0,0
25.0560016632,121.5098800659,5:24:37,9/11/2016,24,10,23.74,406,61.33,324.00,324.36,326.00,0,0
25.0560016632,121.5098953247,5:24:38,9/11/2016,24,18,23.96,388,63.28,325.00,324.63,326.00,0,0
25.0560054779,121.5098953247,5:24:39,9/11/2016,19,13,23.44,396,63.28,326.00,325.25,327.00,0,0
25.0560016632,121.5098953247,5:24:40,9/11/2016,27,11,28.43,445,62.79,327.00,326.18,328.00,0,0
25.0560016632,121.5098953247,5:24:41,9/11/2016,27,12,24.73,390,62.79,327.00,327.00,328.00,0,0
25.0560016632,121.5098800659,5:24:42,9/11/2016,28,14,24.46,398,62.79,327.00,327.05,328.00,0,0
25.0560016632,121.5098800659,5:24:43,9/11/2016,32,18,24.53,404,62.30,328.00,327.37,328.00,0,0
25.0560016632,121.5098800659,5:24:44,9/11/2016,34,19,25.95,382,61.33,328.00,328.02,329.00,0,0
25.0559978485,121.5098953247,5:24:45,9/11/2016,34,23,25.87,383,62.79,329.00,328.92,330.00,0,0
25.0559978485,121.5098953247,5:24:46,9/11/2016,35,12,23.58,402,62.79,329.00,329.03,330.00,0,0
25.0559940338,121.5098953247,5:24:47,9/11/2016,27,17,24.22,391,62.30,330.00,329.03,330.00,0,0
25.0559940338,121.5098953247,5:24:48,9/11/2016,24,22,24.67,408,63.77,329.00,329.02,330.00,0,0
25.0560016632,121.5098953247,5:24:49,9/11/2016,26,18,24.72,367,63.28,329.00,328.67,330.00,0,0
25.0560016632,121.5099105834,5:24:50,9/11/2016,21,11,23.46,398,63.28,330.00,329.51,331.00,0,0
25.0559940338,121.5099258422,5:24:51,9/11/2016,17,23,23.62,400,62.79,332.00,331.28,333.00,0,0
25.0559940338,121.5099258422,5:24:52,9/11/2016,17,16,25.52,392,56.45,333.00,332.68,334.00,0,0
25.0560016632,121.5099258422,5:24:53,9/11/2016,17,15,24.18,401,61.33,335.00,334.08,336.00,0,0
25.0560092926,121.5099258422,5:24:54,9/11/2016,17,21,24.78,379,63.28,336.00,335.55,337.00,0,0
25.0560188293,121.5099105834,5:24:55,9/11/2016,17,17,24.91,409,61.33,338.00,337.45,339.00,0,0
25.0560226440,121.5099105834,5:24:56,9/11/2016,17,15,23.87,398,63.77,339.00,338.09,339.00,0,0
25.0560226440,121.5098953247,5:24:57,9/11/2016,17,17,24.67,398,61.82,339.00,338.99,340.00,0,0
25.0560264587,121.5098953247,5:24:58,9/11/2016,16,21,24.34,390,64.75,339.00,339.05,340.00,0,0
