latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature, gas, gas average, gas peak, people, cumulative people
25.0485553741,121.5761260986,3:3:19,8/11/2016,13,7,14.87,247,42.29,191.00,191.95,193.00,0,3
25.0365238189,121.5010604858,6:34:41,9/11/2016,247,6,12.88,263,29.59,155.00,149.48,155.00,0,1
25.0365486145,121.5010604858,6:34:42,9/11/2016,292,10,21.54,311,29.59,160.00,157.79,160.00,0,1
25.0365486145,121.5010604858,6:34:43,9/11/2016,278,13,20.44,306,29.59,163.00,161.75,164.00,1,2
25.0365486145,121.5010604858,6:34:44,9/11/2016,188,6,18.37,262,30.08,165.00,164.02,166.00,0,2
25.0365924835,121.5010757446,6:34:45,9/11/2016,220,16,16.91,255,29.59,166.00,165.59,167.00,1,3
25.0366172790,121.5010757446,6:34:46,9/11/2016,257,10,18.18,267,30.08,167.00,166.40,167.00,0,3
25.0366382598,121.5010757446,6:34:47,9/11/2016,267,12,14.99,238,30.08,167.00,166.95,168.00,0,3
25.0366497039,121.5010757446,6:34:48,9/11/2016,211,9,18.07,254,30.08,165.00,166.27,168.00,0,3
25.0366706848,121.5010757446,6:34:49,9/11/2016,198,6,22.77,262,30.08,164.00,165.10,166.00,1,4
25.0366783142,121.5010604858,6:34:50,9/11/2016,169,14,33.59,278,29.10,163.00,163.80,165.00,0,4
25.0366859436,121.5010604858,6:34:51,9/11/2016,222,13,23.03,243,30.08,162.00,162.40,164.00,0,4
25.0366859436,121.5010604858,6:34:52,9/11/2016,304,23,15.97,257,30.08,160.00,160.99,162.00,3,7
25.0366897583,121.5010452270,6:34:53,9/11/2016,355,7,20.50,237,29.59,159.00,159.23,161.00,0,7
25.0366859436,121.5010452270,6:34:54,9/11/2016,321,14,19.22,271,30.08,157.00,157.83,159.00,0,7
25.0366821289,121.5010452270,6:34:55,9/11/2016,273,15,18.06,260,30.08,157.00,156.87,158.00,3,10
25.0366821289,121.5010223388,6:34:56,9/11/2016,282,11,15.43,256,30.08,155.00,155.47,157.00,1,11
25.0366783142,121.5010070800,6:34:57,9/11/2016,360,14,16.85,257,30.08,154.00,154.83,156.00,0,11
25.0366611480,121.5010070800,6:34:58,9/11/2016,270,22,16.07,247,30.08,153.00,153.47,155.00,0,11
25.0366611480,121.5010070800,6:34:59,9/11/2016,323,11,16.06,255,29.59,152.00,152.28,154.00,3,14
25.0366535186,121.5010070800,6:35:0,9/11/2016,264,14,18.26,256,30.08,151.00,151.21,153.00,0,14
25.0366497039,121.5009918212,6:35:1,9/11/2016,396,14,17.16,263,29.59,150.00,150.31,152.00,0,14
25.0366458892,121.5009918212,6:35:2,9/11/2016,283,8,18.88,386,30.08,150.00,150.18,151.00,1,15
25.0366420745,121.5009765625,6:35:3,9/11/2016,252,15,17.43,246,30.57,150.00,149.96,151.00,3,18
25.0366420745,121.5009765625,6:35:4,9/11/2016,285,14,18.36,246,30.08,149.00,149.83,151.00,1,19
