latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature, gas, gas average, gas peak, people, cumulative people
25.0633049011,121.5263671875,1:46:56,0/0/200,34,3,4.70,23,27.64,108.00,107.65,109.00,1,1
25.0633106231,121.5263671875,1:46:57,0/0/200,35,6,7.00,36,27.64,107.00,107.66,108.00,2,3
25.0633144378,121.5263671875,1:46:58,0/0/200,33,10,6.87,27,27.64,106.00,107.35,108.00,2,5
25.0633182525,121.5263824462,1:46:59,0/0/200,31,11,10.94,67,27.64,105.00,105.52,106.00,1,6
25.0633220672,121.5263824462,1:47:0,0/0/200,30,1,6.42,37,27.64,105.00,104.95,105.00,1,7
25.0633258819,121.5263824462,1:47:1,0/0/200,29,4,8.39,54,27.64,103.00,104.75,106.00,0,7
25.0633258819,121.5263977050,1:47:2,0/0/200,31,27,11.22,47,27.15,102.00,102.59,103.00,0,7
25.0633296966,121.5263977050,1:47:3,0/0/200,28,14,17.38,59,27.64,102.00,102.24,103.00,0,7
25.0633430480,121.5263824462,1:47:4,0/0/200,32,7,18.36,51,27.64,103.00,102.95,103.00,0,7
25.0633430480,121.5263824462,1:47:5,0/0/200,35,27,19.46,50,27.64,109.00,106.53,110.00,0,7
25.0633430480,121.5263824462,1:47:6,0/0/200,38,18,22.66,62,28.61,107.00,107.90,110.00,0,7
25.0633373260,121.5263977050,1:47:7,0/0/200,35,18,15.97,54,28.13,107.00,106.87,108.00,0,7
25.0633335113,121.5263977050,1:47:8,0/0/200,33,25,13.61,38,28.13,108.00,107.00,108.00,0,7
25.0633335113,121.5263977050,1:47:9,0/0/200,34,4,11.30,49,27.64,108.00,108.00,108.00,0,7
25.0633296966,121.5263977050,1:47:10,0/0/200,38,14,11.52,37,27.64,108.00,108.00,108.00,0,7
25.0633296966,121.5263977050,1:47:11,0/0/200,43,11,11.36,41,27.15,109.00,108.12,109.00,0,7
25.0633258819,121.5264129638,1:47:12,0/0/200,46,11,15.88,50,27.64,109.00,108.80,109.00,0,7
25.0633258819,121.5264129638,1:47:13,0/0/200,44,24,12.54,36,28.13,108.00,108.54,109.00,0,7
25.0633220672,121.5264358520,1:47:14,0/0/200,39,14,15.33,49,28.13,108.00,108.53,110.00,0,7
25.0633220672,121.5264358520,1:47:15,0/0/200,50,10,9.50,35,27.64,108.00,107.65,108.00,0,7
25.0633182525,121.5264511108,1:47:16,0/0/200,50,4,12.22,50,28.13,108.00,108.92,110.00,0,7
25.0633144378,121.5264511108,1:47:17,0/0/200,46,7,6.93,28,27.64,107.00,107.00,108.00,0,7
25.0633106231,121.5264663696,1:47:18,0/0/200,35,2,5.13,26,28.13,107.00,106.12,107.00,1,8
25.0633182525,121.5264663696,1:47:19,0/0/200,35,4,4.76,29,28.13,107.00,106.86,108.00,0,8
25.0633296966,121.5264663696,1:47:20,0/0/200,32,1,3.55,22,28.13,106.00,106.43,107.00,0,8
25.0633296966,121.5264816284,1:47:21,0/0/200,31,0,1.93,18,27.64,107.00,106.00,107.00,0,8
25.0633258819,121.5264816284,1:47:22,0/0/200,30,1,2.77,26,28.13,106.00,106.00,107.00,0,8
25.0633296966,121.5264816284,1:47:23,0/0/200,29,0,2.69,20,27.64,105.00,105.53,106.00,0,8
25.0633220672,121.5264968872,1:47:24,0/0/200,28,0,2.33,20,28.13,105.00,105.00,105.00,0,8
25.0633296966,121.5264968872,1:47:25,0/0/200,28,0,3.16,20,28.13,105.00,105.32,106.00,0,8
25.0633335113,121.5265121459,1:47:26,0/0/200,28,0,4.00,29,27.64,106.00,105.83,106.00,0,8
25.0633373260,121.5265426635,1:47:27,0/0/200,27,2,4.12,20,27.64,106.00,106.00,107.00,0,8
25.0633373260,121.5265655517,1:47:28,0/0/200,27,12,5.14,22,28.13,106.00,106.00,106.00,0,8
25.0633373260,121.5265655517,1:47:29,0/0/200,27,5,4.85,26,28.13,106.00,106.00,106.00,0,8
25.0633468627,121.5265960693,1:47:30,0/0/200,26,12,4.37,23,28.13,108.00,107.01,108.00,0,8
25.0633506774,121.5266113281,1:47:31,0/0/200,27,0,4.97,31,28.13,108.00,107.85,108.00,0,8
25.0633468627,121.5266265869,1:47:32,0/0/200,28,5,4.26,19,27.64,108.00,107.78,108.00,0,8
25.0633468627,121.5266418457,1:47:33,0/0/200,27,1,4.54,24,28.13,108.00,107.83,108.00,0,8
25.0633430480,121.5266571044,1:47:34,0/0/200,28,9,8.99,28,28.13,107.00,107.60,108.00,0,8
25.0633430480,121.5266799926,1:47:35,0/0/200,27,16,7.36,48,27.64,107.00,107.00,107.00,0,8
25.0633373260,121.5266952514,1:47:36,0/0/200,26,9,5.53,28,28.13,107.00,106.35,107.00,0,8
25.0633373260,121.5267105102,1:47:37,0/0/200,26,2,5.67,34,28.13,106.00,106.20,107.00,0,8
25.0633335113,121.5267257690,1:47:38,0/0/200,26,12,8.06,33,28.13,106.00,105.87,106.00,0,8
25.0633335113,121.5267410278,1:47:39,0/0/200,28,15,7.33,27,27.15,106.00,105.79,106.00,0,8
25.0633296966,121.5267562866,1:47:40,0/0/200,27,4,13.37,58,27.15,106.00,106.00,107.00,0,8
25.0633258819,121.5267562866,1:47:41,0/0/200,27,11,7.38,33,27.15,106.00,106.11,107.00,0,8
25.0633220672,121.5267715454,1:47:42,0/0/200,28,18,11.65,39,27.64,107.00,106.97,107.00,0,8
25.0633220672,121.5267868041,1:47:43,0/0/200,26,6,12.29,36,28.13,108.00,107.33,108.00,0,8
25.0633220672,121.5268096923,1:47:44,0/0/200,26,3,18.49,58,27.64,109.00,108.49,109.00,0,8
25.0633220672,121.5268249511,1:47:45,0/0/200,26,22,11.96,51,27.64,108.00,108.71,109.00,0,8
25.0633182525,121.5268402099,1:47:46,0/0/200,26,7,10.86,41,27.64,108.00,108.30,109.00,0,8
25.0633144378,121.5268554687,1:47:47,0/0/200,25,6,9.79,49,27.15,108.00,108.00,108.00,0,8
25.0633144378,121.5268707275,1:47:48,0/0/200,25,0,10.30,35,27.64,108.00,107.95,108.00,0,8
25.0633182525,121.5268859863,1:47:49,0/0/200,25,14,9.32,53,27.15,108.00,108.00,108.00,0,8
25.0633220672,121.5269012451,1:47:50,0/0/200,25,15,11.93,40,27.64,109.00,108.57,109.00,0,8
25.0633220672,121.5269241333,1:47:51,0/0/200,25,28,13.73,41,26.66,108.00,108.23,109.00,0,8
25.0633220672,121.5269241333,1:47:52,0/0/200,26,10,12.54,44,28.13,108.00,108.28,109.00,0,8
25.0633258819,121.5269546508,1:47:53,0/0/200,25,6,11.55,51,27.64,109.00,108.78,109.00,0,8
25.0633296966,121.5269546508,1:47:54,0/0/200,26,38,14.08,61,28.13,109.00,108.95,109.00,0,8
25.0633296966,121.5269699096,1:47:55,0/0/200,25,6,9.56,67,28.13,109.00,109.00,109.00,0,8
25.0633335113,121.5269851684,1:47:56,0/0/200,26,10,8.88,46,27.64,110.00,109.35,110.00,0,8
25.0633335113,121.5270004272,1:47:57,0/0/200,25,14,8.10,27,28.13,110.00,109.84,110.00,0,8
25.0633335113,121.5270156860,1:47:58,0/0/200,26,14,14.88,78,27.64,110.00,110.00,110.00,0,8
25.0633335113,121.5270309448,1:47:59,0/0/200,26,15,12.89,40,27.64,110.00,110.47,111.00,0,8
25.0633296966,121.5270538330,1:48:0,0/0/200,27,21,13.31,50,28.13,110.00,110.00,110.00,0,8
25.0633296966,121.5270538330,1:48:1,0/0/200,28,25,9.96,47,28.13,109.00,109.76,110.00,0,8
25.0633296966,121.5270690917,1:48:2,0/0/200,27,4,8.57,40,27.64,110.00,109.71,110.00,0,8
25.0633296966,121.5270843505,1:48:3,0/0/200,26,25,21.77,72,28.13,110.00,110.00,111.00,0,8
25.0633220672,121.5270843505,1:48:4,0/0/200,26,6,10.69,64,27.64,111.00,110.00,111.00,0,8
25.0633144378,121.5270996093,1:48:5,0/0/200,26,5,8.30,70,27.15,112.00,111.07,112.00,0,8
25.0633182525,121.5271148681,1:48:6,0/0/200,26,3,6.56,33,27.15,111.00,111.16,112.00,0,8
25.0633182525,121.5271148681,1:48:7,0/0/200,26,1,5.03,33,27.15,110.00,110.71,111.00,0,8
25.0633182525,121.5271301269,1:48:8,0/0/200,27,7,4.51,22,27.15,110.00,110.00,111.00,0,8
25.0633144378,121.5271453857,1:48:9,0/0/200,27,0,5.60,35,27.15,110.00,110.00,110.00,0,8
25.0633144378,121.5271682739,1:48:10,0/0/200,26,14,4.85,27,27.64,109.00,109.76,110.00,0,8
25.0633144378,121.5271835327,1:48:11,0/0/200,27,7,5.80,33,27.64,109.00,109.00,110.00,0,8
25.0633106231,121.5271987915,1:48:12,0/0/200,27,0,2.83,26,27.15,109.00,108.81,109.00,0,8
25.0633144378,121.5271987915,1:48:13,0/0/200,27,0,2.78,38,27.64,108.00,108.01,109.00,0,8
25.0633106231,121.5272140502,1:48:14,0/0/200,27,8,2.60,18,27.64,107.00,107.59,108.00,0,8
25.0633106231,121.5272293090,1:48:15,0/0/200,27,0,5.05,24,27.64,107.00,106.99,107.00,0,8
25.0633049011,121.5272445678,1:48:16,0/0/200,27,4,2.82,31,27.64,106.00,106.54,107.00,0,8
25.0633010864,121.5272598266,1:48:17,0/0/200,27,8,3.82,28,27.15,106.00,106.00,106.00,0,8
25.0633010864,121.5272750854,1:48:18,0/0/200,27,7,3.94,31,27.15,105.00,105.23,106.00,0,8
25.0633010864,121.5272979736,1:48:19,0/0/200,27,6,3.44,30,27.15,105.00,105.00,105.00,0,8
25.0633010864,121.5273132324,1:48:20,0/0/200,26,0,2.56,24,26.66,104.00,104.74,105.00,0,8
25.0633010864,121.5273284912,1:48:21,0/0/200,26,2,2.42,19,27.15,104.00,104.00,105.00,0,8
25.0632972717,121.5273284912,1:48:22,0/0/200,26,8,2.74,34,27.15,105.00,104.28,105.00,0,8
25.0632972717,121.5273437500,1:48:23,0/0/200,26,0,2.53,28,27.15,106.00,105.25,106.00,0,8
25.0632972717,121.5273742675,1:48:24,0/0/200,26,3,1.97,37,27.15,107.00,106.22,107.00,0,8
25.0633010864,121.5273742675,1:48:25,0/0/200,26,0,2.22,30,27.15,107.00,107.00,107.00,0,8
25.0632972717,121.5273895263,1:48:26,0/0/200,26,1,1.27,31,27.15,107.00,107.00,107.00,0,8
25.0632934570,121.5274124145,1:48:27,0/0/200,27,1,1.46,49,27.15,108.00,107.10,108.00,0,8
25.0632934570,121.5274276733,1:48:28,0/0/200,26,0,1.32,31,27.15,108.00,107.90,108.00,0,8
25.0632896423,121.5274429321,1:48:29,0/0/200,26,0,2.07,36,27.15,108.00,108.02,109.00,0,8
25.0632858276,121.5274429321,1:48:30,0/0/200,26,8,2.27,30,27.15,108.00,108.32,109.00,0,8
25.0632762908,121.5274581909,1:48:31,0/0/200,26,0,2.66,41,27.15,108.00,108.00,108.00,0,8
