51.5024414062,-0.1196682929,16:46:56,0/0/200,0,0
51.5024414062,-0.1196700096,16:46:56,24/3/2017,0,0
51.5024337768,-0.1196666002,16:46:58,24/3/2017,0,0
51.5024337768,-0.1196650028,16:46:59,24/3/2017,0,0
51.5024185180,-0.1196700096,16:47:0,24/3/2017,0,0
51.5024185180,-0.1196716070,16:47:0,24/3/2017,0,0
51.5023994445,-0.1196750049,16:47:2,24/3/2017,0,0
51.5023918151,-0.1196816082,16:47:3,24/3/2017,0,0
51.5023841857,-0.1196850061,16:47:4,24/3/2017,0,0
51.5023765563,-0.1196882963,16:47:4,24/3/2017,0,0
51.5023612976,-0.1196915988,16:47:6,24/3/2017,0,0
51.5023536682,-0.1196933031,16:47:7,24/3/2017,0,0
51.5023422241,-0.1196949958,16:47:8,24/3/2017,0,0
51.5023345947,-0.1196966056,16:47:8,24/3/2017,0,0
51.5023269653,-0.1197000026,16:47:10,24/3/2017,0,0
51.5023193359,-0.1197016124,16:47:11,24/3/2017,0,0
51.5023117065,-0.1197049980,16:47:12,24/3/2017,0,0
51.5023040771,-0.1197099924,16:47:12,24/3/2017,0,0
51.5022964477,-0.1197166080,16:47:14,24/3/2017,0,0
51.5022850036,-0.1197250003,16:47:15,24/3/2017,0,0
51.5022697448,-0.1197333097,16:47:16,24/3/2017,0,0
51.5022621154,-0.1197399978,16:47:16,24/3/2017,0,0
51.5022544860,-0.1197466011,16:47:18,24/3/2017,0,0
51.5022468566,-0.1197515964,16:47:19,24/3/2017,0,0
51.5022392272,-0.1197566032,16:47:20,24/3/2017,0,0
51.5022315979,-0.1197600126,16:47:20,24/3/2017,0,0
51.5022201538,-0.1197633028,16:47:22,24/3/2017,0,0
51.5022048950,-0.1197666053,16:47:23,24/3/2017,0,0
51.5021972656,-0.1197682971,16:47:24,24/3/2017,0,0
51.5021896362,-0.1197700023,16:47:24,24/3/2017,0,0
51.5021820068,-0.1197750091,16:47:26,24/3/2017,0,0
51.5021743774,-0.1197782993,16:47:27,24/3/2017,0,0
