latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature,MQ9 gas average,people,cumulative people
51.5019187927,0.0064233007,14:9:8,18/5/2016,11,7,7.71,58,14.94,704.49,0,0
51.5019187927,0.0064300003,14:9:10,18/5/2016,11,0,9.46,56,14.94,702.9,0,0
51.5019187927,0.0064400005,14:9:11,18/5/2016,11,0,3.17,40,14.94,699.01,0,0
51.5019187927,0.0064466004,14:9:12,18/5/2016,11,10,17.61,85,14.94,700.15,0,0
51.5019187927,0.0064549994,14:9:12,18/5/2016,11,4,8.5,73,14.94,699.29,0,0
51.5019187927,0.0064583005,14:9:13,18/5/2016,10,3,3,3,15.43,829,0,0
51.5019111633,0.0064632997,14:9:15,18/5/2016,10,0,5.54,53,14.94,694.91,0,0
51.5019111633,0.0064733004,14:9:16,18/5/2016,10,0,1,11,14.94,692.29,0,0
51.5019111633,0.0064916009,14:9:16,18/5/2016,10,0,0.57,10,15.43,691.15,0,0
51.5019187927,0.0065033006,14:9:18,18/5/2016,9,0,1.01,9,15.43,696.07,0,0
51.5019187927,0.0065182995,14:9:19,18/5/2016,9,0,0.49,9,15.43,697.51,0,0
51.5019302368,0.0065265998,14:9:19,18/5/2016,9,0,0,0,15.43,825,0,0
51.5019302368,0.0065433001,14:9:20,18/5/2016,9,0,0.5,9,15.43,698.27,0,0
51.5019302368,0.0065566005,14:9:22,18/5/2016,9,0,0.17,4,15.43,700.87,0,0
51.5019378662,0.0065649995,14:9:23,18/5/2016,9,0,0.62,10,15.43,702.3,0,0
51.5019378662,0.0065750002,14:9:24,18/5/2016,9,0,0.28,6,15.43,704.88,0,0
51.5019454956,0.0065766,14:9:24,18/5/2016,9,0,0.28,6,15.43,708.04,0,0
51.501953125,0.0065766,14:9:25,18/5/2016,9,0,0,0,15.43,832,0,0
51.501953125,0.0065932998,14:9:27,18/5/2016,9,0,0.3,8,15.43,709.21,0,0
51.5019683837,0.0066100001,14:9:28,18/5/2016,9,0,0.15,6,15.43,710.31,0,0
51.5019683837,0.0066182999,14:9:28,18/5/2016,9,0,1.31,11,15.43,710.38,0,0
51.5019683837,0.0066249995,14:9:30,18/5/2016,9,0,0.31,7,15.43,710.34,0,0
51.5019683837,0.0066266002,14:9:31,18/5/2016,9,4,1.08,10,15.43,709.09,0,0
51.5019683837,0.0066266002,14:9:31,18/5/2016,9,3,3,3,15.43,828,0,0
51.5019378662,0.0066282997,14:9:32,18/5/2016,9,0,0.41,12,15.43,711.54,0,0
51.5018730163,0.0066132998,14:9:34,18/5/2016,9,0,2.82,20,15.43,708.46,0,0
51.5018157958,0.0066100001,14:9:35,18/5/2016,9,0,1.94,18,15.43,706.15,0,0
51.5017166137,0.0065900001,14:9:36,18/5/2016,9,1,3.2,22,15.43,704.09,0,0
51.5016860961,0.0065900001,14:9:36,18/5/2016,8,3,1.06,17,15.43,707.54,0,0
51.5016670227,0.0065900001,14:9:37,18/5/2016,8,3,3,3,15.43,831,0,0
51.5016517639,0.0066016006,14:9:39,18/5/2016,9,0,1.33,12,15.43,710.26,0,0
51.5016288757,0.0066115999,14:9:40,18/5/2016,9,6,2.5,24,15.43,711.51,0,0
51.5016098022,0.0066182999,14:9:40,18/5/2016,9,8,6.79,38,15.43,710.94,0,0
51.5015945434,0.0066266002,14:9:42,18/5/2016,9,2,3.95,25,15.43,708.42,0,0
51.5015792846,0.0066350007,14:9:43,18/5/2016,8,8,3.75,18,15.43,708.16,0,0
51.5015640258,0.0066350007,14:9:43,18/5/2016,8,7,7,7,15.43,837,0,0
51.5015373229,0.00665,14:9:44,18/5/2016,8,1,3.35,25,15.43,713.7,0,0
51.5015220642,0.0066616005,14:9:46,18/5/2016,8,5,9.42,45,15.43,712.91,0,0
51.5015068054,0.0066683001,14:9:47,18/5/2016,8,4,9.17,43,15.43,713.78,0,0
