
51.50188827,0.00565000, CPS, 0, CPM, 35, uSv/hr, 0.19, SLOW
51.50189590,0.00565660, CPS, 0, CPM, 34, uSv/hr, 0.19, SLOW
51.50190353,0.00566330, CPS, 1, CPM, 34, uSv/hr, 0.19, SLOW
51.50191116,0.00566660, CPS, 2, CPM, 36, uSv/hr, 0.20, SLOW
51.50191879,0.00565830, CPS, 1, CPM, 37, uSv/hr, 0.21, SLOW
51.50193023,0.00566000, CPS, 2, CPM, 38, uSv/hr, 0.21, SLOW
51.50191879,0.00566330, CPS, 1, CPM, 36, uSv/hr, 0.20, SLOW
51.50191879,0.00566830, CPS, 1, CPM, 37, uSv/hr, 0.21, SLOW
51.50190353,0.00566000, CPS, 0, CPM, 36, uSv/hr, 0.20, SLOW
51.50191879,0.00564660, CPS, 2, CPM, 38, uSv/hr, 0.21, SLOW
51.50191879,0.00564160, CPS, 0, CPM, 37, uSv/hr, 0.21, SLOW
51.50193786,0.00562000, CPS, 0, CPM, 37, uSv/hr, 0.21, SLOW
51.50194549,0.00562160, CPS, 0, CPM, 37, uSv/hr, 0.21, SLOW
51.50196075,0.00562500, CPS, 0, CPM, 36, uSv/hr, 0.20, SLOW
51.50197601,0.00561500, CPS, 0, CPM, 35, uSv/hr, 0.19, SLOW
51.50199508,0.00560660, CPS, 1, CPM, 35, uSv/hr, 0.19, SLOW
51.50201034,0.00561000, CPS, 0, CPM, 34, uSv/hr, 0.19, SLOW
51.50202560,0.00560830, CPS, 0, CPM, 34, uSv/hr, 0.19, SLOW
51.50203323,0.00560160, CPS, 0, CPM, 33, uSv/hr, 0.18, SLOW
51.50203323,0.00559500, CPS, 0, CPM, 31, uSv/hr, 0.17, SLOW
51.50203323,0.00559500, CPS, 2, CPM, 33, uSv/hr, 0.18, SLOW
51.50203323,0.00559660, CPS, 0, CPM, 33, uSv/hr, 0.18, SLOW
51.50202560,0.00560160, CPS, 0, CPM, 33, uSv/hr, 0.18, SLOW
51.50201797,0.00560830, CPS, 2, CPM, 35, uSv/hr, 0.19, SLOW
51.50201034,0.00561830, CPS, 0, CPM, 35, uSv/hr, 0.19, SLOW
51.50200271,0.00563160, CPS, 0, CPM, 34, uSv/hr, 0.19, SLOW
51.50200271,0.00566330, CPS, 0, CPM, 34, uSv/hr, 0.19, SLOW
51.50201034,0.00569160, CPS, 2, CPM, 35, uSv/hr, 0.19, SLOW
51.50202560,0.00574000, CPS, 0, CPM, 35, uSv/hr, 0.19, SLOW
51.50202560,0.00576660, CPS, 1, CPM, 36, uSv/hr, 0.20, SLOW
51.50205993,0.00581660, CPS, 0, CPM, 35, uSv/hr, 0.19, SLOW
51.50208282,0.00586660, CPS, 0, CPM, 32, uSv/hr, 0.18, SLOW
51.50210952,0.00591330, CPS, 0, CPM, 32, uSv/hr, 0.18, SLOW
51.50213241,0.00594830, CPS, 0, CPM, 32, uSv/hr, 0.18, SLOW
