latitude,longitude,time,date,people,cumulative people
51.5023040771,0.0058882999,13:47:3,24/2/2016,0,7
51.5023117065,0.0058932995,13:47:4,24/2/2016,0,7
51.5023269653,0.0058983001,13:47:4,24/2/2016,0,7
51.5023422241,0.0059015998,13:47:6,24/2/2016,0,7
51.5023536682,0.0059015998,13:47:7,24/2/2016,0,7
51.502368927,0.0058983001,13:47:8,24/2/2016,0,7
51.5023841857,0.0058983001,13:47:8,24/2/2016,0,7
51.5023994445,0.0059000005,13:47:10,24/2/2016,0,7
51.502418518,0.0059000005,13:47:11,24/2/2016,0,7
51.5024337768,0.0059000005,13:47:12,24/2/2016,0,7
51.5024490356,0.0059015998,13:47:12,24/2/2016,0,7
51.5024642944,0.0059066004,13:47:14,24/2/2016,0,7
51.5024833679,0.0059100003,13:47:15,24/2/2016,0,7
51.5024986267,0.0059133005,13:47:16,24/2/2016,0,7
51.5025215148,0.0059150004,13:47:16,24/2/2016,0,7
51.5025405883,0.0059183001,13:47:18,24/2/2016,0,7
51.5025482177,0.0059216003,13:47:19,24/2/2016,0,7
51.5025634765,0.0059283008,13:47:20,24/2/2016,0,7
51.5025711059,0.0059333,13:47:20,24/2/2016,0,7
51.5025863647,0.0059383001,13:47:22,24/2/2016,0,7
51.5026054382,0.0059416003,13:47:23,24/2/2016,0,7
51.502620697,0.0059450001,13:47:24,24/2/2016,0,7
51.5026283264,0.0059450001,13:47:24,24/2/2016,0,7
51.5026435852,0.0059482998,13:47:26,24/2/2016,0,7
51.5026626586,0.0059500002,13:47:27,24/2/2016,0,7
51.502670288,0.0059549999,13:47:28,24/2/2016,0,7
51.5026855468,0.0059633007,13:47:28,24/2/2016,0,7
51.5026931762,0.0059666004,13:47:30,24/2/2016,0,7
51.502708435,0.0059682998,13:47:31,24/2/2016,0,7
51.5027198791,0.0059700007,13:47:32,24/2/2016,0,7
51.5027351379,0.0059750003,13:47:32,24/2/2016,0,7
51.5027503967,0.0059750003,13:47:34,24/2/2016,0,7
51.5027580261,0.0059750003,13:47:35,24/2/2016,0,7
51.5027732849,0.0059750003,13:47:36,24/2/2016,0,7
51.502784729,0.0059750003,13:47:36,24/2/2016,0,7
51.5027999877,0.0059766006,13:47:38,24/2/2016,0,7
51.5028152465,0.0059800004,13:47:39,24/2/2016,0,7
51.5028228759,0.0059850001,13:47:40,24/2/2016,0,7
51.5028419494,0.0059850001,13:47:40,24/2/2016,0,7
51.5028572082,0.0059833002,13:47:42,24/2/2016,0,7
51.502872467,0.0059816002,13:47:43,24/2/2016,0,7
51.5028877258,0.0059816002,13:47:44,24/2/2016,0,7
51.5029067993,0.0059783005,13:47:44,24/2/2016,0,7
51.5029144287,0.0059783005,13:47:46,24/2/2016,0,7
51.5029220581,0.0059833002,13:47:47,24/2/2016,0,7
51.5029373168,0.0059816002,13:47:48,24/2/2016,0,7
51.5029449462,0.0059816002,13:47:48,24/2/2016,0,7
51.5029525756,0.0059850001,13:47:50,24/2/2016,0,7
51.5029716491,0.0059833002,13:47:51,24/2/2016,0,7
51.5029792785,0.0059866003,13:47:52,24/2/2016,0,7
51.5029869079,0.0059916009,13:47:52,24/2/2016,0,7
51.5030021667,0.0059916009,13:47:54,24/2/2016,0,7
51.5030097961,0.0059949998,13:47:55,24/2/2016,0,7
51.5030288696,0.0059932999,13:47:56,24/2/2016,0,7
51.503036499,0.0059899997,13:47:56,24/2/2016,0,7
51.5030517578,0.0059916009,13:47:58,24/2/2016,0,7
51.5030593872,0.0059899997,13:47:59,24/2/2016,0,7
51.5030670166,0.0059899997,13:48:0,24/2/2016,0,7
51.50308609,0.0059932999,13:48:0,24/2/2016,0,7
51.5030937194,0.0059966001,13:48:2,24/2/2016,0,7
51.5031013488,0.006,13:48:3,24/2/2016,0,7
51.5031166076,0.0060066003,13:48:4,24/2/2016,0,7
51.503124237,0.0060100007,13:48:4,24/2/2016,0,7
51.5031318664,0.0060150003,13:48:6,24/2/2016,1,8
51.5031318664,0.0060266008,13:48:7,24/2/2016,0,8
51.5031509399,0.0060383005,13:48:8,24/2/2016,0,8
51.5031509399,0.0060550003,13:48:8,24/2/2016,0,8
51.5031585693,0.0060700006,13:48:10,24/2/2016,0,8
