SourceFile,FileName,GPSLatitude,GPSLongitude,GPSLatDec,GPSLonDec
./IMG_9309.JPG,IMG_9309.JPG,"40 deg 41' 36.85""","73 deg 59' 49.29""",40.69357,73.997025
./IMG_9310.JPG,IMG_9310.JPG,"40 deg 41' 40.67""","73 deg 59' 58.10""",40.69463,73.99947
./IMG_9311.JPG,IMG_9311.JPG,"40 deg 41' 44.33""","74 deg 0' 8.10""",40.69565,74.00225
./IMG_9312.JPG,IMG_9312.JPG,"40 deg 41' 44.48""","74 deg 0' 8.35""",40.69569,74.00232
./IMG_9313.JPG,IMG_9313.JPG,"40 deg 41' 44.48""","74 deg 0' 8.73""",40.69569,74.002426
./IMG_9314.JPG,IMG_9314.JPG,"40 deg 41' 42.38""","74 deg 0' 0.44""",40.695107,74.00012
./IMG_9316.JPG,IMG_9316.JPG,"40 deg 41' 27.92""","73 deg 59' 9.08""",40.69109,73.985855
./IMG_9318.JPG,IMG_9318.JPG,"40 deg 41' 23.49""","73 deg 58' 57.98""",40.689857,73.98277
./IMG_9319.JPG,IMG_9319.JPG,"40 deg 41' 18.09""","73 deg 59' 3.06""",40.68836,73.984184
./IMG_9320.JPG,IMG_9320.JPG,"40 deg 41' 13.13""","73 deg 59' 6.30""",40.68698,73.985085
./IMG_9322.JPG,IMG_9322.JPG,"40 deg 41' 21.58""","73 deg 59' 11.19""",40.689327,73.98644
./IMG_9331.JPG,IMG_9331.JPG,"40 deg 44' 27.85""","74 deg 0' 18.48""",40.74107,74.005135
./IMG_9332.JPG,IMG_9332.JPG,"40 deg 44' 22.47""","74 deg 0' 24.31""",40.739574,74.00675
./IMG_9334.JPG,IMG_9334.JPG,"40 deg 44' 22.76""","74 deg 0' 28.43""",40.739655,74.0079
./IMG_9335.JPG,IMG_9335.JPG,"40 deg 44' 22.41""","74 deg 0' 28.84""",40.73956,74.00801
./IMG_9338.JPG,IMG_9338.JPG,"40 deg 44' 31.85""","74 deg 0' 28.76""",40.74218,74.00799
./IMG_9339.JPG,IMG_9339.JPG,"40 deg 44' 33.73""","74 deg 0' 26.94""",40.742702,74.007484
./IMG_9340.JPG,IMG_9340.JPG,"40 deg 44' 38.36""","74 deg 0' 24.28""",40.743988,74.006744
./IMG_9341.JPG,IMG_9341.JPG,"40 deg 44' 40.66""","74 deg 0' 22.25""",40.74463,74.00618
./IMG_9342.JPG,IMG_9342.JPG,"40 deg 44' 47.31""","74 deg 0' 19.56""",40.746475,74.00543
./IMG_9343.JPG,IMG_9343.JPG,"40 deg 44' 48.11""","74 deg 0' 20.00""",40.746696,74.005554
./IMG_9344.JPG,IMG_9344.JPG,"40 deg 44' 51.22""","74 deg 0' 17.91""",40.747562,74.004974
./IMG_9345.JPG,IMG_9345.JPG,"40 deg 44' 52.28""","74 deg 0' 16.12""",40.747856,74.00448
./IMG_9346.JPG,IMG_9346.JPG,"40 deg 44' 52.43""","74 deg 0' 16.40""",40.7479,74.004555
./IMG_9347.JPG,IMG_9347.JPG,"40 deg 44' 52.43""","74 deg 0' 16.40""",40.7479,74.004555
./IMG_9348.JPG,IMG_9348.JPG,"40 deg 44' 55.55""","74 deg 0' 15.77""",40.748764,74.00438
./IMG_9354.JPG,IMG_9354.JPG,"40 deg 45' 11.44""","74 deg 0' 8.51""",40.753178,74.002365
./IMG_9355.JPG,IMG_9355.JPG,"40 deg 45' 11.99""","74 deg 0' 15.85""",40.75333,74.0044
./IMG_9356.JPG,IMG_9356.JPG,"40 deg 45' 13.95""","74 deg 0' 15.33""",40.753876,74.00426
./IMG_9357.JPG,IMG_9357.JPG,"40 deg 45' 13.75""","74 deg 0' 15.30""",40.75382,74.00425
./IMG_9358.JPG,IMG_9358.JPG,"40 deg 45' 1.26""","73 deg 59' 54.75""",40.75035,73.99854
./IMG_9359.JPG,IMG_9359.JPG,"40 deg 44' 58.86""","74 deg 0' 2.39""",40.749683,74.00066
./IMG_9360.JPG,IMG_9360.JPG,"40 deg 42' 39.02""","74 deg 0' 33.21""",40.71084,74.009224
./IMG_9361.JPG,IMG_9361.JPG,"40 deg 42' 36.82""","74 deg 0' 26.48""",40.710228,74.007355
./IMG_9362.JPG,IMG_9362.JPG,"40 deg 42' 43.37""","74 deg 0' 26.61""",40.712048,74.00739
./IMG_9363.JPG,IMG_9363.JPG,"40 deg 42' 50.94""","74 deg 0' 22.47""",40.71415,74.00624
./IMG_9364.JPG,IMG_9364.JPG,"40 deg 43' 4.36""","74 deg 0' 10.74""",40.717876,74.00298
./IMG_9366.JPG,IMG_9366.JPG,"40 deg 43' 9.45""","74 deg 0' 7.17""",40.71929,74.00199
./IMG_9398.JPG,IMG_9398.JPG,"40 deg 44' 58.49""","73 deg 56' 16.13""",40.74958,73.93781
./IMG_9405.JPG,IMG_9405.JPG,"40 deg 34' 31.80""","73 deg 58' 42.68""",40.5755,73.97852
./IMG_9406.JPG,IMG_9406.JPG,"40 deg 34' 33.37""","73 deg 58' 40.54""",40.575935,73.97793
./IMG_9407.JPG,IMG_9407.JPG,"40 deg 34' 33.22""","73 deg 58' 42.74""",40.575893,73.97854
./IMG_9408.JPG,IMG_9408.JPG,"40 deg 34' 33.26""","73 deg 58' 43.12""",40.575905,73.978645
./IMG_9409.JPG,IMG_9409.JPG,"40 deg 34' 33.28""","73 deg 58' 44.30""",40.575912,73.97897
./IMG_9415.JPG,IMG_9415.JPG,"40 deg 34' 27.96""","73 deg 58' 52.96""",40.574432,73.98138
./IMG_9416.JPG,IMG_9416.JPG,"40 deg 34' 27.71""","73 deg 58' 53.26""",40.574364,73.98146
./IMG_9420.JPG,IMG_9420.JPG,"40 deg 34' 25.14""","73 deg 58' 51.83""",40.57365,73.981064
./IMG_9421.JPG,IMG_9421.JPG,"40 deg 34' 22.37""","73 deg 58' 50.92""",40.57288,73.98081
./IMG_9422.JPG,IMG_9422.JPG,"40 deg 34' 21.31""","73 deg 58' 50.57""",40.572586,73.98071
./IMG_9423.JPG,IMG_9423.JPG,"40 deg 34' 23.31""","73 deg 58' 48.29""",40.573143,73.98008
./IMG_9424.JPG,IMG_9424.JPG,"40 deg 34' 24.17""","73 deg 58' 45.57""",40.57338,73.979324
./IMG_9430.JPG,IMG_9430.JPG,"40 deg 34' 26.83""","73 deg 58' 44.41""",40.57412,73.979004
./IMG_9432.JPG,IMG_9432.JPG,"40 deg 34' 26.91""","73 deg 58' 44.33""",40.574142,73.97898
./IMG_9433.JPG,IMG_9433.JPG,"40 deg 34' 27.08""","73 deg 58' 45.57""",40.57419,73.979324
./IMG_9434.JPG,IMG_9434.JPG,"40 deg 34' 28.20""","73 deg 58' 45.57""",40.5745,73.979324
./IMG_9435.JPG,IMG_9435.JPG,"40 deg 34' 26.39""","73 deg 58' 46.20""",40.573997,73.9795
./IMG_9436.JPG,IMG_9436.JPG,"40 deg 34' 26.46""","73 deg 58' 46.34""",40.574017,73.97954
./IMG_9444.JPG,IMG_9444.JPG,"40 deg 34' 23.36""","73 deg 58' 39.58""",40.573154,73.97766
./IMG_9445.JPG,IMG_9445.JPG,"40 deg 34' 25.22""","73 deg 58' 34.94""",40.573673,73.97637
./IMG_9446.JPG,IMG_9446.JPG,"40 deg 34' 26.03""","73 deg 58' 21.97""",40.5739,73.97277
./IMG_9448.JPG,IMG_9448.JPG,"40 deg 34' 29.47""","73 deg 58' 6.54""",40.574852,73.96848
./IMG_9449.JPG,IMG_9449.JPG,"40 deg 34' 29.95""","73 deg 57' 50.31""",40.574986,73.963974
./IMG_9450.JPG,IMG_9450.JPG,"40 deg 34' 30.52""","73 deg 57' 46.96""",40.575146,73.96304
./IMG_9453.JPG,IMG_9453.JPG,"40 deg 34' 37.87""","73 deg 57' 48.16""",40.577187,73.96338
./IMG_9457.JPG,IMG_9457.JPG,"40 deg 44' 34.68""","73 deg 59' 33.72""",40.742966,73.9927
./IMG_9458.JPG,IMG_9458.JPG,"40 deg 44' 30.08""","73 deg 59' 22.70""",40.741688,73.98964
./IMG_9459.JPG,IMG_9459.JPG,"40 deg 44' 29.75""","73 deg 59' 22.67""",40.741596,73.98963
