latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature, gas, gas average, gas peak, people, cumulative people
25.0587558746,121.5333633422,2:13:2,8/11/2016,29,58,32.08,289,32.03,188.00,189.08,190.00,0,0
25.0587768554,121.5333480834,2:13:3,8/11/2016,29,38,31.74,251,32.52,187.00,188.01,189.00,0,0
25.0587730407,121.5333175659,2:13:4,8/11/2016,29,35,31.94,241,32.03,185.00,185.93,188.00,0,0
25.0587482452,121.5333175659,2:13:5,8/11/2016,32,29,28.21,197,32.03,181.00,183.61,185.00,0,0
25.0588264465,121.5328750610,2:13:6,8/11/2016,34,33,27.50,274,32.03,180.00,180.45,181.00,0,0
25.0588302612,121.5328445434,2:13:7,8/11/2016,42,33,28.29,239,32.52,178.00,179.14,180.00,0,0
25.0588054656,121.5328445434,2:13:8,8/11/2016,38,30,28.65,237,32.52,175.00,177.02,178.00,0,0
25.0587978363,121.5328292846,2:13:9,8/11/2016,33,29,29.65,242,32.52,175.00,175.29,177.00,0,0
25.0588169097,121.5328292846,2:13:10,8/11/2016,33,38,28.63,211,32.03,172.00,173.57,175.00,0,0
25.0588054656,121.5328445434,2:13:11,8/11/2016,33,36,32.12,248,32.52,169.00,170.93,173.00,0,0
25.0588016510,121.5328445434,2:13:12,8/11/2016,33,49,30.92,241,32.52,168.00,168.77,170.00,0,0
25.0588016510,121.5328598022,2:13:13,8/11/2016,33,30,29.74,236,32.03,166.00,166.96,169.00,0,0
25.0587978363,121.5328903198,2:13:14,8/11/2016,33,44,30.68,235,32.03,165.00,165.13,166.00,0,0
25.0587940216,121.5328750610,2:13:15,8/11/2016,35,38,30.87,215,32.52,163.00,164.14,165.00,0,0
25.0587768554,121.5328750610,2:13:16,8/11/2016,32,32,29.20,234,32.03,161.00,162.30,164.00,0,0
25.0587730407,121.5328445434,2:13:17,8/11/2016,32,33,28.52,234,32.52,160.00,160.42,162.00,0,0
25.0587654113,121.5328445434,2:13:18,8/11/2016,32,25,33.13,222,33.01,158.00,159.12,160.00,0,0
25.0587692260,121.5327987670,2:13:19,8/11/2016,33,35,29.56,214,33.01,157.00,157.60,159.00,0,0
25.0588378906,121.5329437255,2:13:20,8/11/2016,35,49,29.58,225,33.01,156.00,156.26,157.00,0,0
25.0587654113,121.5330886840,2:13:22,8/11/2016,33,43,26.52,211,33.01,154.00,154.34,156.00,0,0
25.0586109161,121.5333328247,2:13:23,8/11/2016,32,62,28.16,271,32.52,152.00,152.72,154.00,0,0
25.0585250854,121.5334167480,2:13:24,8/11/2016,32,32,30.08,231,33.01,152.00,152.11,153.00,0,0
25.0584926605,121.5334167480,2:13:25,8/11/2016,30,20,28.47,241,33.01,150.00,151.59,153.00,0,0
25.0584888458,121.5334167480,2:13:26,8/11/2016,29,26,31.70,234,33.01,149.00,149.72,151.00,0,0
25.0584716796,121.5334014892,2:13:27,8/11/2016,27,18,26.65,200,33.01,146.00,147.65,149.00,0,0
25.0584545135,121.5333786010,2:13:28,8/11/2016,27,64,26.53,247,33.01,147.00,146.27,147.00,0,0
25.0584430694,121.5333786010,2:13:29,8/11/2016,26,29,27.02,212,33.01,148.00,147.01,148.00,0,0
25.0584278106,121.5333633422,2:13:30,8/11/2016,26,39,26.54,220,33.50,146.00,147.29,148.00,0,0
25.0584220886,121.5333633422,2:13:31,8/11/2016,26,27,27.15,224,33.01,146.00,146.13,147.00,0,0
25.0584144592,121.5333633422,2:13:32,8/11/2016,26,37,25.26,229,33.01,147.00,146.20,147.00,0,0
25.0584068298,121.5333633422,2:13:33,8/11/2016,26,30,25.67,204,33.01,147.00,146.97,148.00,0,0
25.0583934783,121.5333480834,2:13:34,8/11/2016,26,36,25.97,225,33.50,146.00,146.93,148.00,0,0
25.0583858489,121.5333480834,2:13:35,8/11/2016,25,34,27.26,248,33.50,147.00,146.37,147.00,0,0
25.0583820343,121.5333328247,2:13:36,8/11/2016,26,65,27.58,234,33.50,146.00,146.13,147.00,0,0
25.0583782196,121.5333328247,2:13:37,8/11/2016,26,30,29.34,222,33.01,146.00,146.04,147.00,0,0
25.0583782196,121.5333175659,2:13:38,8/11/2016,27,34,36.69,224,33.01,146.00,146.00,147.00,0,0
25.0583667755,121.5333175659,2:13:39,8/11/2016,28,48,35.38,229,33.01,146.00,146.00,146.00,0,0
25.0583534240,121.5333175659,2:13:40,8/11/2016,28,44,39.46,265,33.01,146.00,145.97,147.00,0,0
25.0583457946,121.5333023071,2:13:41,8/11/2016,27,40,34.25,206,33.01,146.00,145.98,146.00,0,0
25.0583381652,121.5333175659,2:13:42,8/11/2016,28,48,35.38,212,33.01,145.00,145.40,146.00,0,0
25.0583248138,121.5333023071,2:13:43,8/11/2016,28,29,25.69,224,33.01,145.00,144.87,145.00,0,0
25.0583095550,121.5333023071,2:13:44,8/11/2016,27,32,24.30,188,33.01,145.00,144.93,146.00,0,0
25.0582923889,121.5332870483,2:13:45,8/11/2016,26,38,26.88,212,33.01,145.00,144.94,145.00,0,0
25.0582771301,121.5332870483,2:13:46,8/11/2016,27,31,27.44,204,33.50,145.00,144.99,145.00,0,0
25.0582637786,121.5332870483,2:13:47,8/11/2016,29,22,21.64,199,33.50,144.00,144.00,145.00,0,0
25.0582485198,121.5332870483,2:13:48,8/11/2016,28,41,27.98,205,33.50,146.00,144.13,146.00,0,0
25.0582351684,121.5332870483,2:13:49,8/11/2016,27,33,26.54,211,33.50,145.00,145.45,148.00,0,0
25.0582103729,121.5332870483,2:13:50,8/11/2016,25,34,29.65,203,33.50,145.00,144.99,145.00,0,0
25.0581989288,121.5332870483,2:13:51,8/11/2016,26,33,28.06,224,33.50,144.00,144.34,145.00,0,0
25.0581874847,121.5332870483,2:13:52,8/11/2016,26,28,42.40,226,33.01,144.00,143.98,145.00,0,0
25.0581741333,121.5332870483,2:13:53,8/11/2016,26,44,25.62,188,33.01,143.00,143.73,144.00,0,0
25.0581665039,121.5332870483,2:13:54,8/11/2016,26,35,27.87,214,33.01,143.00,143.18,144.00,0,0
25.0581588745,121.5332870483,2:13:55,8/11/2016,25,38,28.21,187,33.01,143.00,143.05,144.00,0,0
25.0581493377,121.5332717895,2:13:56,8/11/2016,25,43,22.36,254,33.01,143.00,143.01,144.00,0,0
25.0581417083,121.5332717895,2:13:57,8/11/2016,25,29,26.79,177,33.01,143.00,143.00,143.00,0,0
25.0581378936,121.5332717895,2:13:58,8/11/2016,25,30,32.68,199,33.50,143.00,142.90,143.00,0,0
25.0581340789,121.5332717895,2:13:59,8/11/2016,24,72,26.60,206,33.98,142.00,142.09,143.00,0,0
25.0581302642,121.5332489013,2:14:0,8/11/2016,25,26,28.91,219,33.98,142.00,141.92,143.00,0,0
25.0581302642,121.5332489013,2:14:1,8/11/2016,25,35,28.81,316,33.98,141.00,141.19,142.00,0,0
25.0581302642,121.5332489013,2:14:2,8/11/2016,25,27,27.79,213,33.98,141.00,140.96,143.00,0,0
25.0581302642,121.5332489013,2:14:3,8/11/2016,25,39,27.06,221,33.98,141.00,140.83,141.00,0,0
25.0581302642,121.5332489013,2:14:4,8/11/2016,26,39,30.10,212,33.98,140.00,140.23,141.00,0,0
25.0581264495,121.5332489013,2:14:5,8/11/2016,26,37,26.66,224,33.98,140.00,140.04,141.00,0,0
25.0581264495,121.5332489013,2:14:6,8/11/2016,25,28,26.10,218,34.47,140.00,140.03,141.00,0,0
25.0581226348,121.5332336425,2:14:7,8/11/2016,25,29,27.05,233,34.47,140.00,140.03,141.00,0,0
25.0581130981,121.5332336425,2:14:8,8/11/2016,26,42,26.24,241,34.47,140.00,139.98,141.00,0,0
25.0581092834,121.5332336425,2:14:9,8/11/2016,25,36,31.54,216,34.47,140.00,139.94,141.00,0,0
25.0581054687,121.5332336425,2:14:10,8/11/2016,26,24,30.40,202,34.96,140.00,139.91,140.00,0,0
25.0581016540,121.5332336425,2:14:11,8/11/2016,26,27,32.73,220,33.98,140.00,139.63,140.00,0,0
25.0580978393,121.5332336425,2:14:12,8/11/2016,26,20,27.64,228,34.47,140.00,139.90,140.00,0,0
25.0580940246,121.5332336425,2:14:13,8/11/2016,26,43,30.31,223,34.47,140.00,139.94,140.00,0,0
25.0580940246,121.5332336425,2:14:14,8/11/2016,25,32,29.37,225,33.98,140.00,139.98,141.00,0,0
25.0580883026,121.5332336425,2:14:15,8/11/2016,25,24,31.97,244,34.47,140.00,140.05,141.00,0,0
25.0580806732,121.5332336425,2:14:16,8/11/2016,25,33,28.98,201,33.98,141.00,140.67,141.00,0,0
25.0580806732,121.5332336425,2:14:17,8/11/2016,25,43,30.02,247,34.47,141.00,140.97,142.00,0,0
25.0580768585,121.5332183837,2:14:18,8/11/2016,25,33,32.02,233,33.98,141.00,141.00,142.00,0,0
25.0580768585,121.5332336425,2:14:19,8/11/2016,25,35,32.67,222,33.98,141.00,141.07,142.00,0,0
25.0580768585,121.5332336425,2:14:20,8/11/2016,25,30,27.36,231,33.98,141.00,141.01,142.00,0,0
25.0580768585,121.5332336425,2:14:21,8/11/2016,25,34,32.91,216,33.98,141.00,141.00,142.00,0,0
25.0580768585,121.5332336425,2:14:22,8/11/2016,25,59,45.04,224,34.47,141.00,141.00,141.00,0,0
25.0580730438,121.5332336425,2:14:23,8/11/2016,25,76,51.10,236,34.47,141.00,141.00,142.00,0,0
25.0580730438,121.5332336425,2:14:24,8/11/2016,25,47,48.66,248,33.98,141.00,141.00,141.00,0,0
25.0580730438,121.5332336425,2:14:25,8/11/2016,25,51,46.64,239,33.98,141.00,141.00,142.00,0,0
25.0580692291,121.5332336425,2:14:26,8/11/2016,25,106,55.13,249,33.98,141.00,141.00,141.00,0,0
25.0580692291,121.5332336425,2:14:27,8/11/2016,25,45,61.02,229,33.98,141.00,141.00,141.00,0,0
25.0580654144,121.5332336425,2:14:28,8/11/2016,25,74,56.66,262,33.98,141.00,140.80,141.00,0,0
25.0580654144,121.5332336425,2:14:29,8/11/2016,25,55,44.92,261,33.98,141.00,140.95,141.00,0,0
25.0580615997,121.5332336425,2:14:30,8/11/2016,25,39,35.13,222,33.98,141.00,141.00,141.00,0,0
25.0580615997,121.5332336425,2:14:31,8/11/2016,25,55,40.20,235,34.47,141.00,140.98,141.00,0,0
25.0580558776,121.5332336425,2:14:32,8/11/2016,25,29,34.10,218,33.98,141.00,140.97,141.00,0,0
25.0580558776,121.5332336425,2:14:33,8/11/2016,25,32,31.25,226,34.47,141.00,140.94,141.00,0,0
25.0580482482,121.5332183837,2:14:34,8/11/2016,25,40,31.77,228,34.47,141.00,140.44,141.00,0,0
25.0580482482,121.5332183837,2:14:35,8/11/2016,25,66,26.67,231,34.47,140.00,140.59,141.00,0,0
25.0580558776,121.5332336425,2:14:36,8/11/2016,25,51,34.45,252,34.47,141.00,140.83,141.00,0,0
25.0580520629,121.5332183837,2:14:37,8/11/2016,26,17,24.52,201,34.47,141.00,140.35,141.00,0,0
25.0580520629,121.5332183837,2:14:38,8/11/2016,25,37,34.63,248,34.47,140.00,140.33,141.00,0,0
25.0580558776,121.5332183837,2:14:39,8/11/2016,25,21,32.23,217,33.98,140.00,139.99,141.00,0,0
25.0580558776,121.5332183837,2:14:40,8/11/2016,25,37,38.48,226,34.96,140.00,140.02,141.00,0,0
25.0580558776,121.5332183837,2:14:41,8/11/2016,25,31,30.35,210,34.47,140.00,140.01,141.00,0,0
25.0580558776,121.5332183837,2:14:42,8/11/2016,25,33,32.17,231,34.96,140.00,140.05,141.00,0,0
25.0580558776,121.5332183837,2:14:43,8/11/2016,25,37,30.55,201,34.96,141.00,140.16,141.00,0,0
25.0580558776,121.5332183837,2:14:44,8/11/2016,25,29,34.59,220,34.96,140.00,140.76,141.00,0,0
25.0580558776,121.5332336425,2:14:45,8/11/2016,25,67,34.23,241,34.96,140.00,140.36,141.00,0,0
25.0580558776,121.5332336425,2:14:46,8/11/2016,25,65,37.32,207,34.96,141.00,140.71,142.00,0,0
25.0580520629,121.5332336425,2:14:47,8/11/2016,24,49,36.44,202,34.47,142.00,141.66,143.00,0,0
25.0580520629,121.5332336425,2:14:48,8/11/2016,24,18,41.87,343,34.96,141.00,141.37,142.00,0,0
25.0580482482,121.5332336425,2:14:49,8/11/2016,24,37,31.94,202,34.47,141.00,141.04,142.00,0,0
25.0580482482,121.5332183837,2:14:50,8/11/2016,24,46,42.66,196,35.45,141.00,141.02,142.00,0,0
25.0580482482,121.5332183837,2:14:51,8/11/2016,24,26,37.56,260,34.47,141.00,141.00,142.00,0,0
25.0580482482,121.5332183837,2:14:52,8/11/2016,25,87,38.15,213,34.96,141.00,141.02,142.00,0,0
25.0580482482,121.5332183837,2:14:53,8/11/2016,24,54,35.28,220,34.47,141.00,141.00,142.00,0,0
25.0580482482,121.5332183837,2:14:54,8/11/2016,25,67,33.56,210,35.45,141.00,141.05,142.00,0,0
25.0580482482,121.5332183837,2:14:55,8/11/2016,25,49,35.31,261,34.47,141.00,141.04,142.00,0,0
25.0580482482,121.5332183837,2:14:56,8/11/2016,25,53,42.38,216,34.96,141.00,141.14,142.00,0,0
25.0580482482,121.5332183837,2:14:57,8/11/2016,25,55,32.22,228,34.96,141.00,141.13,142.00,0,0
25.0580444335,121.5332183837,2:14:58,8/11/2016,25,48,35.17,212,34.96,142.00,141.28,142.00,0,0
25.0580444335,121.5332183837,2:14:59,8/11/2016,25,47,38.27,290,34.96,141.00,141.34,142.00,0,0
25.0580444335,121.5332183837,2:15:0,8/11/2016,24,40,39.10,322,35.45,142.00,141.81,142.00,0,0
25.0580406188,121.5332183837,2:15:1,8/11/2016,25,34,37.74,248,34.96,142.00,141.99,142.00,0,0
25.0580406188,121.5332183837,2:15:2,8/11/2016,25,67,36.05,255,34.96,142.00,142.00,143.00,0,0
25.0580368041,121.5332183837,2:15:3,8/11/2016,24,40,35.45,265,34.47,142.00,142.00,142.00,0,0
25.0580368041,121.5332183837,2:15:4,8/11/2016,25,29,38.50,208,34.96,142.00,142.00,143.00,0,0
25.0580368041,121.5332183837,2:15:5,8/11/2016,25,66,35.87,238,34.96,142.00,142.00,143.00,0,0
25.0580368041,121.5332183837,2:15:6,8/11/2016,25,52,73.07,242,34.96,142.00,142.00,142.00,0,0
25.0580368041,121.5332183837,2:15:7,8/11/2016,25,51,32.63,218,34.96,141.00,142.00,143.00,0,0
25.0580329895,121.5332183837,2:15:8,8/11/2016,24,36,43.99,236,34.96,140.00,141.00,142.00,0,0
25.0580329895,121.5332183837,2:15:9,8/11/2016,25,38,30.69,225,34.96,140.00,140.12,141.00,0,0
25.0580329895,121.5332183837,2:15:10,8/11/2016,25,49,29.92,228,34.96,141.00,140.10,141.00,0,0
25.0580329895,121.5332183837,2:15:11,8/11/2016,25,39,31.76,231,34.96,141.00,141.00,142.00,0,0
25.0580329895,121.5332183837,2:15:12,8/11/2016,24,48,31.90,220,34.96,141.00,141.20,142.00,0,0
