latitude,longitude,time,date,MQ135 value 0-1024,MQ135 average,MQ135 peak,MQ2 value," MQ2 average"," MQ2 peak"," dust pcs/0.01cf",CO2 ppm,CO ppm
51.5022773742,0.0058949999,13:36:41,25/8/2016,108.00,108.66,111.00,74.00,74.29,77.00,44.00,197,0.01549655
51.5022773742,0.0058882999,13:36:42,25/8/2016,109.00,108.59,111.00,75.00,74.25,77.00,44.00,197,0.015450593
51.5022850036,0.0058833003,13:36:43,25/8/2016,110.00,108.74,112.00,77.00,74.10,77.00,44.00,198,0.015549203
51.5023040771,0.0058766002,13:36:44,25/8/2016,111.00,111.00,111.00,74.00,74.00,74.00,44.00,210,0.017095784
51.5023040771,0.0058699998,13:36:45,25/8/2016,108.00,108.14,111.00,73.00,75.00,81.00,44.00,195,0.015157737
51.5023040771,0.0058683004,13:36:46,25/8/2016,108.00,108.67,986.00,73.00,74.21,78.00,44.00,197,0.015503123
51.5022964477,0.0058716006,13:36:47,25/8/2016,111.00,108.69,112.00,73.00,74.29,77.00,44.00,198,0.015516273
51.5022964477,0.0058750004,13:36:48,25/8/2016,107.00,107.92,112.00,71.00,73.48,77.00,44.00,194,0.015016162
51.5022964477,0.0058750004,13:36:48,25/8/2016,105.00,105.00,105.00,71.00,71.00,71.00,44.00,179,0.0132337585
51.5023040771,0.0058833003,13:36:49,25/8/2016,107.00,106.15,109.00,74.00,72.65,76.00,44.00,185,0.01391463
51.5023193359,0.0058849997,13:36:50,25/8/2016,105.00,105.36,108.00,71.00,72.16,75.00,44.00,181,0.013444016
51.5023345947,0.0058800001,13:36:51,25/8/2016,103.00,104.42,108.00,74.00,71.51,75.00,44.00,176,0.012900477
51.5023422241,0.0058800001,13:36:52,25/8/2016,107.00,104.07,107.00,70.00,71.42,74.00,44.00,175,0.012702578
51.5023422241,0.0058816003,13:36:53,25/8/2016,103.00,104.83,108.00,72.00,71.82,75.00,44.00,178,0.013135389
51.5023536682,0.0058833003,13:36:54,25/8/2016,106.00,105.77,109.00,72.00,72.54,76.00,44.00,183,0.013686664
51.5023612976,0.0058849997,13:36:55,25/8/2016,106.00,106.85,110.00,73.00,73.59,77.00,44.00,188,0.014342375
51.5023612976,0.0058916001,13:36:56,25/8/2016,109.00,107.52,110.00,77.00,74.29,77.00,44.00,192,0.014761426
51.5023612976,0.0059000005,13:36:57,25/8/2016,108.00,108.02,111.00,77.00,74.67,78.00,44.00,194,0.015080392
51.5023612976,0.0059116001,13:36:58,25/8/2016,110.00,108.62,111.00,77.00,75.09,78.00,44.00,197,0.015470281
51.5023689270,0.0059200000,13:36:59,25/8/2016,110.00,109.29,112.00,76.00,75.45,79.00,44.00,201,0.015914995
51.5023612976,0.0059299998,13:37:0,25/8/2016,111.00,109.59,112.00,73.00,75.60,79.00,44.00,202,0.016117355
51.5023689270,0.0059365997,13:37:1,25/8/2016,108.00,109.68,112.00,74.00,75.45,79.00,44.00,203,0.016178463
51.5023689270,0.0059466004,13:37:2,25/8/2016,110.00,109.46,112.00,75.00,75.13,78.00,44.00,202,0.016029427
51.5023689270,0.0059532999,13:37:3,25/8/2016,110.00,109.24,112.00,72.00,74.79,78.00,44.00,200,0.015881462
51.5023765563,0.0059600000,13:37:4,25/8/2016,107.00,107.46,111.00,74.00,73.13,77.00,44.00,191,0.014723512
51.5023765563,0.0059715995,13:37:5,25/8/2016,108.00,107.27,110.00,74.00,73.04,76.00,44.00,190,0.014603954
51.5023841857,0.0059700007,13:37:6,25/8/2016,108.00,107.98,111.00,75.00,73.97,77.00,44.00,194,0.01505468
51.5023841857,0.0059715995,13:37:7,25/8/2016,109.00,108.42,111.00,73.00,74.51,78.00,44.00,196,0.015339443
51.5023918151,0.0059715995,13:37:9,25/8/2016,107.00,108.69,112.00,73.00,74.48,78.00,8506.43,198,0.015516273
51.5024070739,0.0059700007,13:37:10,25/8/2016,109.00,109.08,112.00,76.00,74.90,78.00,8506.43,200,0.015774539
51.5024185180,0.0059682998,13:37:11,25/8/2016,109.00,109.24,112.00,77.00,75.17,78.00,8506.43,200,0.015881462
51.5024185180,0.0059666004,13:37:12,25/8/2016,109.00,109.27,112.00,75.00,75.20,78.00,8506.43,201,0.015901577
51.5024261474,0.0059666004,13:37:13,25/8/2016,109.00,108.55,112.00,75.00,74.76,78.00,8506.43,197,0.015424388
51.5024261474,0.0059650001,13:37:14,25/8/2016,106.00,107.69,111.00,75.00,74.83,78.00,8506.43,192,0.014869275
51.5024261474,0.0059583001,13:37:15,25/8/2016,109.00,107.45,110.00,76.00,75.08,78.00,8506.43,191,0.014717204
51.5024414062,0.0059583001,13:37:16,25/8/2016,109.00,108.15,111.00,76.00,75.65,79.00,8506.43,195,0.0151642
51.5024490356,0.0059616003,13:37:17,25/8/2016,108.00,108.52,111.00,74.00,75.79,79.00,8506.43,197,0.015404748
51.5024566650,0.0059633007,13:37:18,25/8/2016,108.00,108.93,112.00,78.00,75.92,79.00,8506.43,199,0.015674809
51.5024642944,0.0059666004,13:37:19,25/8/2016,108.00,109.10,112.00,74.00,76.18,79.00,8506.43,200,0.015787877
51.5024642944,0.0059700007,13:37:20,25/8/2016,108.00,109.20,112.00,74.00,76.06,79.00,8506.43,200,0.01585467
51.5024757385,0.0059715995,13:37:21,25/8/2016,110.00,109.27,112.00,77.00,76.03,79.00,8506.43,201,0.015901577
51.5024757385,0.0059750003,13:37:22,25/8/2016,111.00,109.22,112.00,78.00,76.03,79.00,8506.43,200,0.015868071
51.5024833679,0.0059783005,13:37:23,25/8/2016,110.00,109.15,112.00,74.00,75.68,79.00,8506.43,200,0.01582125
51.5024909973,0.0059833002,13:37:24,25/8/2016,107.00,109.13,112.00,73.00,75.30,79.00,8506.43,200,0.015807897
51.5024909973,0.0059800004,13:37:25,25/8/2016,111.00,109.56,113.00,74.00,74.88,78.00,8506.43,202,0.01609703
51.5024986267,0.0059783005,13:37:26,25/8/2016,108.00,109.24,112.00,74.00,74.86,78.00,8506.43,200,0.015881462
