,,,,,,,,,,,,,,,,,,,normX,normY
38.249158,21.737207,15.30539,Point,212.34375,0.8500000238418579,0.08580559492111206,1.1667673587799072,2.17346453666687,0.43449902534484863,8.028488159179688,34.99777603149414,1560675674990.3516,0.18361417949199677,28.027986526489258,5,3.458935260772705,4,19.119735717773438,0.0575,-0.195
38.246716,21.735422,15.18095,Point,225.3515625,1.4600000381469727,0.0670449286699295,0.7195694446563721,1.393418550491333,0.27922987937927246,8.770954132080078,46.05804443359375,1560676135992.5977,0.12101701647043228,37.982208251953125,10,3.055588960647583,4,25.183008193969727,-0.045,-0.0125
38.244384,21.726246,1.150301,Point,256.2890625,1.4199999570846558,0.06275542080402374,0.27317050099372864,0.5202494263648987,0.16193710267543793,5.6611528396606445,25.184619903564453,1560683465995.7266,0.09238738566637039,21.0770206451416,5,1.418104648590088,4,16.72740364074707,-0.58,0.16
38.242903,21.733906,21.964128,Point,219.0234375,1.2899999618530273,0.030717669054865837,0.7806195616722107,1.1917976140975952,0.279253751039505,4.9202117919921875,16.402490615844727,1560682707999.0776,0.07575983554124832,10.24428653717041,5,1.807348370552063,4,11.58665657043457,-0.1325,0.27
38.247291,21.732479,3.686357,Point,38.3203125,1.2599999904632568,0.053636450320482254,0.4498315155506134,0.8541028499603271,0.20311082899570465,5.739679336547852,28.8615779876709,1560698932992.3892,0.09289214760065079,20.26167106628418,10,1.8637322187423706,4,17.450584411621094,-0.2175,-0.055
38.248381,21.733835,1.795549,Point,43.2421875,1.0399999618530273,0.14054976403713226,2.5674657821655273,4.762789726257324,0.8223680853843689,7.903897762298584,29.17592430114746,1560699055996,0.3479778468608856,23.42803955078125,10,4.124234676361084,4,14.646247863769531,-0.1375,-0.1375
38.248264,21.733713,1.104631,Point,37.96875,1.5,0.04214382544159889,1.6540651321411133,2.4070193767547607,0.4414752423763275,5.205229759216309,25.7399845123291,1560699045996.366,0.12979428470134735,14.307923316955566,10,3.048205614089966,4,14.98112964630127,-0.145,-0.1275
38.249251,21.737316,15.318107,Point,217.96875,1.4199999570846558,0.030294140800833702,0.6239488124847412,1.1722667217254639,0.17786948382854462,4.146582126617432,33.43407440185547,1560675662990.7717,0.05969242379069328,10.055826187133789,5,1.6143752336502075,4,21.109966278076172,0.065,-0.2
38.242788,21.728666,12.2054,Point,242.2265625,1.2400000095367432,0.02566930092871189,0.3811895251274109,0.8296095132827759,0.1397710144519806,1.779761552810669,10.021889686584473,1560683122990.042,0.06005880981683731,9.522411346435547,5,1.2248108386993408,6,4.009793758392334,-0.44,0.28
38.242078,21.737851,34.529863,Point,23.90625,2.109999895095825,0.02072949707508087,0.29816868901252747,0.5868921875953674,0.11943504214286804,2.681577682495117,8.109840393066406,1560679474989.6528,0.042809829115867615,6.726600170135498,10,1.0132198333740234,4,5.209019184112549,0.095,0.3325
38.246472,21.734666,11.764271,Point,240.46875,1.1299999952316284,0.06081143394112587,0.8148728013038635,1.257551670074463,0.3084571063518524,4.493134498596191,27.219873428344727,1560676183991.2554,0.12340904027223587,24.7853946685791,5,2.317661762237549,4,10.311504364013672,-0.09,0.005
38.249502,21.734919,2.850847,Point,54.4921875,1.0499999523162842,0.036637719720602036,0.3184187710285187,0.7631228566169739,0.1366480141878128,3.290658712387085,17.532726287841797,1560699705987.9175,0.07226107269525528,12.505683898925781,5,1.5391451120376587,4,9.32474136352539,-0.075,-0.22
38.242488,21.730394,15.461442,Point,311.1328125,1.4199999570846558,0.03880055248737335,0.2546735107898712,0.5036981105804443,0.12661847472190857,2.6561906337738037,20.305498123168945,1560682977993.6123,0.06677384674549103,17.293785095214844,10,1.0357013940811157,4,9.527037620544434,-0.3375,0.3025
38.241674,21.739366,40.108293,Point,253.125,1.4199999570846558,0.04142852872610092,0.2832200825214386,0.534753143787384,0.1321929544210434,3.6176388263702393,18.427223205566406,1560682247993.813,0.06915418058633804,13.341551780700684,5,1.1023000478744507,3,11.55215835571289,0.185,0.3625
